"IBOV","USIM5","CSNA3","SBSP3"
-4.1132759932,7.1428550576,-16.428572721,-5.7048544343
7.7617769099,-8.5714249384,-6.2622350381,-12.249998565
0.90600226504,-7.9428320182,13.863216979,0.56979321598
-12.811447811,-12.716756951,-17.224024929,-3.3982805499
-3.7394606424,5.9602622237,17.670127921,-21.988267673
11.841401444,4.2500019073,-5.6999985161,10.522530639
-1.6320918276,17.505995341,0.74231249018,16.789826893
5.4211741826,10.10993495,15.964914562,23.125000815
-8.1747953419,-0.94339979123,-11.815431425,-7.1873922048
-6.6612255148,-6.6666648501,-9.092469066,-3.3762125034
-10.627564404,-18.367348528,-2.8118524549,-11.25000379
14.841574471,9.7499966621,20.582525452,17.0078624
15.813618192,35.535307295,28.697066861,27.011498387
-10.078089633,-12.60504242,-6.0810832581,4.9773721485
-9.1435403688,-15.37678643,-1.3339670227,-18.534482316
3.3176340214,-0.81489748054,10.258046058,-4.238095332
-1.796607897,-23.708924287,-6.9632521366,-8.2877512353
-0.61437640798,0.61538402842,14.452174148,0.0060236636273
-5.5292259084,-3.8226299917,-9.2812243285,-0.30120095271
-6.6453395376,-5.9233066612,-8.7179528327,1.2084616626
-17.172897196,-30.35087436,-24.101121961,-34.925376321
6.8547249648,-0.50377785346,3.6639512398,2.7522992219
13.789158746,44.303790898,25.13388635,18.303561391
4.9957466554,14.210534153,4.1369427303,-0.37735365258
-6.3047801429,10.138246147,2.1917873371,3.0303091879
10.313654586,11.715483174,17.882031747,10.234239016
-5.5512007411,-3.1154930834,-4.7077519505,-2.6615965704
-1.2750867662,6.524630575,13.123307569,13.515620316
-1.7118838365,-4.3749988079,6.2816618882,-22.229871075
-13.389316538,-10.457518702,-6.8530067604,-8.1561067414
-12.361971451,-24.671534025,-5.5345609486,-20.346622914
6.3511575498,11.434111822,-4.7058830748,7.0431363391
-16.952417646,-22.434781945,-24.44444424,-8.3891470315
17.91927627,19.730944101,22.875814527,12.607420423
3.3539883938,14.419474886,28.723405415,-5.4669778487
7.2325846973,7.3649721675,5.6818220302,10.843377928
-2.9020234292,12.804880486,12.903225336,-6.6086973705
-6.0414952929,2.2972982986,7.3593027237,-10.509775982
9.6595330739,21.003958252,4.8387075454,6.0085846892
11.381176261,17.03057255,6.0266253087,26.364863461
6.8891366678,1.5858215676,-0.86655287205,7.2956143978
-3.3455033157,20.752977079,22.727279832,-2.0350795921
4.6176379896,19.321524352,15.384609669,10.183477691
11.811951956,11.329400722,22.8395064,14.096918728
5.5094240148,14.705882352,3.7185959902,-2.7567608121
12.317301686,17.641025641,14.321701543,1.7152415556
12.240017795,21.621621621,13.578572639,14.138496369
10.171926869,26.56011262,16.940298508,15.424204888
