Ano;Mês;Value;Data;;;;;
2022;Jan;0,007323;2022-01-01;;;;;
2022;Fev;0,00755;2022-02-01;;;;;
2022;Mar;0,009271;2022-03-01;;;;;
2022;Abr;0,008343;2022-04-01;;;;;
2022;Mai;0,010346;2022-05-01;;;;;
2022;Jun;0,010153;2022-06-01;;;;;
2022;Jul;0,010348;2022-07-01;;;;;
2022;Ago;0,011694;2022-08-01;;;;;
2022;Set;0,01072;2022-09-01;;;;;
2022;Out;0,010207;2022-10-01;;;;;
2022;Nov;---;2022-11-01;;;;;
2022;Dez;---;2022-12-01;;;;;
2021;Jan;0,001495;2021-01-01;;;;;
2021;Fev;0,001345;2021-02-01;;;;;
2021;Mar;0,002011;2021-03-01;;;;;
2021;Abr;0,002078;2021-04-01;;;;;
2021;Mai;0,002703;2021-05-01;;;;;
2021;Jun;0,003078;2021-06-01;;;;;
2021;Jul;0,003556;2021-07-01;;;;;
2021;Ago;0,004279;2021-08-01;;;;;
2021;Set;0,00442;2021-09-01;;;;;
2021;Out;0,00486;2021-10-01;;;;;
2021;Nov;0,005868;2021-11-01;;;;;
2021;Dez;0,007691;2021-12-01;;;;;
2020;Jan;0,003766;2020-01-01;;;;;
2020;Fev;0,002937;2020-02-01;;;;;
2020;Mar;0,003384;2020-03-01;;;;;
2020;Abr;0,002849;2020-04-01;;;;;
2020;Mai;0,002358;2020-05-01;;;;;
2020;Jun;0,002123;2020-06-01;;;;;
2020;Jul;0,001943;2020-07-01;;;;;
2020;Ago;0,001599;2020-08-01;;;;;
2020;Set;0,00157;2020-09-01;;;;;
2020;Out;0,00157;2020-10-01;;;;;
2020;Nov;0,001495;2020-11-01;;;;;
2020;Dez;0,001645;2020-12-01;;;;;
2019;Jan;0,00543;2019-01-01;;;;;
2019;Fev;0,004936;2019-02-01;;;;;
2019;Mar;0,004688;2019-03-01;;;;;
2019;Abr;0,005183;2019-04-01;;;;;
2019;Mai;0,00543;2019-05-01;;;;;
2019;Jun;0,004688;2019-06-01;;;;;
2019;Jul;0,005678;2019-07-01;;;;;
2019;Ago;0,005017;2019-08-01;;;;;
2019;Set;0,004638;2019-09-01;;;;;
2019;Out;0,004793;2019-10-01;;;;;
2019;Nov;0,003804;2019-11-01;;;;;
2019;Dez;0,003747;2019-12-01;;;;;
2018;Jan;0,005834;2018-01-01;;;;;
2018;Fev;0,004649;2018-02-01;;;;;
2018;Mar;0,005316;2018-03-01;;;;;
2018;Abr;0,005175;2018-04-01;;;;;
2018;Mai;0,005175;2018-05-01;;;;;
2018;Jun;0,005175;2018-06-01;;;;;
2018;Jul;0,005422;2018-07-01;;;;;
2018;Ago;0,005669;2018-08-01;;;;;
2018;Set;0,004681;2018-09-01;;;;;
2018;Out;0,00543;2018-10-01;;;;;
2018;Nov;0,004936;2018-11-01;;;;;
2018;Dez;0,004936;2018-12-01;;;;;
2017;Jan;0,010846;2017-01-01;;;;;
2017;Fev;0,008638;2017-02-01;;;;;
2017;Mar;0,010504;2017-03-01;;;;;
2017;Abr;0,007853;2017-04-01;;;;;
2017;Mai;0,009256;2017-05-01;;;;;
2017;Jun;0,008081;2017-06-01;;;;;
2017;Jul;0,007972;2017-07-01;;;;;
2017;Ago;0,008015;2017-08-01;;;;;
2017;Set;0,006377;2017-09-01;;;;;
2017;Out;0,006431;2017-10-01;;;;;
2017;Nov;0,005675;2017-11-01;;;;;
2017;Dez;0,005377;2017-12-01;;;;;
2016;Jan;0,010549;2016-01-01;;;;;
2016;Fev;0,010015;2016-02-01;;;;;
2016;Mar;0,011605;2016-03-01;;;;;
2016;Abr;0,010545;2016-04-01;;;;;
2016;Mai;0,011075;2016-05-01;;;;;
2016;Jun;0,011605;2016-06-01;;;;;
2016;Jul;0,011075;2016-07-01;;;;;
2016;Ago;0,012136;2016-08-01;;;;;
2016;Set;0,011075;2016-09-01;;;;;
2016;Out;0,010474;2016-10-01;;;;;
2016;Nov;0,010369;2016-11-01;;;;;
2016;Dez;0,011218;2016-12-01;;;;;
2015;Jan;0,009293;2015-01-01;;;;;
2015;Fev;0,008185;2015-02-01;;;;;
2015;Mar;0,010361;2015-03-01;;;;;
2015;Abr;0,009483;2015-04-01;;;;;
2015;Mai;0,009838;2015-05-01;;;;;
2015;Jun;0,010658;2015-06-01;;;;;
2015;Jul;0,011773;2015-07-01;;;;;
2015;Ago;0,011075;2015-08-01;;;;;
2015;Set;0,011075;2015-09-01;;;;;
2015;Out;0,011077;2015-10-01;;;;;
2015;Nov;0,010552;2015-11-01;;;;;
2015;Dez;0,011613;2015-12-01;;;;;
2014;Jan;0,008398;2014-01-01;;;;;
2014;Fev;0,007827;2014-02-01;;;;;
2014;Mar;0,007599;2014-03-01;;;;;
2014;Abr;0,008155;2014-04-01;;;;;
2014;Mai;0,008583;2014-05-01;;;;;
2014;Jun;0,008174;2014-06-01;;;;;
2014;Jul;0,009404;2014-07-01;;;;;
2014;Ago;0,008595;2014-08-01;;;;;
2014;Set;0,009006;2014-09-01;;;;;
2014;Out;0,009448;2014-10-01;;;;;
2014;Nov;0,008379;2014-11-01;;;;;
2014;Dez;0,009558;2014-12-01;;;;;
2013;Jan;0,005866;2013-01-01;;;;;
2013;Fev;0,004816;2013-02-01;;;;;
2013;Mar;0,005377;2013-03-01;;;;;
2013;Abr;0,006008;2013-04-01;;;;;
2013;Mai;0,005849;2013-05-01;;;;;
2013;Jun;0,005919;2013-06-01;;;;;
2013;Jul;0,007088;2013-07-01;;;;;
2013;Ago;0,006958;2013-08-01;;;;;
2013;Set;0,006991;2013-09-01;;;;;
2013;Out;0,008034;2013-10-01;;;;;
2013;Nov;0,007105;2013-11-01;;;;;
2013;Dez;0,007804;2013-12-01;;;;;
2012;Jan;0,008853;2012-01-01;;;;;
2012;Fev;0,007416;2012-02-01;;;;;
2012;Mar;0,008083;2012-03-01;;;;;
2012;Abr;0,006999;2012-04-01;;;;;
2012;Mai;0,007325;2012-05-01;;;;;
2012;Jun;0,006386;2012-06-01;;;;;
2012;Jul;0,006754;2012-07-01;;;;;
2012;Ago;0,006866;2012-08-01;;;;;
2012;Set;0,005372;2012-09-01;;;;;
2012;Out;0,006073;2012-10-01;;;;;
2012;Nov;0,005445;2012-11-01;;;;;
2012;Dez;0,005342;2012-12-01;;;;;
2011;Jan;0,008606;2011-01-01;;;;;
2011;Fev;0,008424;2011-02-01;;;;;
2011;Mar;0,009189;2011-03-01;;;;;
2011;Abr;0,008388;2011-04-01;;;;;
2011;Mai;0,009853;2011-05-01;;;;;
2011;Jun;0,009527;2011-06-01;;;;;
2011;Jul;0,009666;2011-07-01;;;;;
2011;Ago;0,010724;2011-08-01;;;;;
2011;Set;0,009398;2011-09-01;;;;;
2011;Out;0,008807;2011-10-01;;;;;
2011;Nov;0,008586;2011-11-01;;;;;
2011;Dez;0,009047;2011-12-01;;;;;
2010;Jan;0,006582;2010-01-01;;;;;
2010;Fev;0,005925;2010-02-01;;;;;
2010;Mar;0,007569;2010-03-01;;;;;
2010;Abr;0,00664;2010-04-01;;;;;
2010;Mai;0,007501;2010-05-01;;;;;
2010;Jun;0,007908;2010-06-01;;;;;
2010;Jul;0,008592;2010-07-01;;;;;
2010;Ago;0,008863;2010-08-01;;;;;
2010;Set;0,008446;2010-09-01;;;;;
2010;Out;0,008057;2010-10-01;;;;;
2010;Nov;0,008056;2010-11-01;;;;;
2010;Dez;0,009272;2010-12-01;;;;;
2009;Jan;0,010428;2009-01-01;;;;;
2009;Fev;0,008527;2009-02-01;;;;;
2009;Mar;0,009665;2009-03-01;;;;;
2009;Abr;0,008356;2009-04-01;;;;;
2009;Mai;0,007665;2009-05-01;;;;;
2009;Jun;0,007514;2009-06-01;;;;;
2009;Jul;0,007841;2009-07-01;;;;;
2009;Ago;0,006915;2009-08-01;;;;;
2009;Set;0,006915;2009-09-01;;;;;
2009;Out;0,006912;2009-10-01;;;;;
2009;Nov;0,00659;2009-11-01;;;;;
2009;Dez;0,007239;2009-12-01;;;;;
2008;Jan;0,00922;2008-01-01;;;;;
2008;Fev;0,00795;2008-02-01;;;;;
2008;Mar;0,008385;2008-03-01;;;;;
2008;Abr;0,008978;2008-04-01;;;;;
2008;Mai;0,008712;2008-05-01;;;;;
2008;Jun;0,009482;2008-06-01;;;;;
2008;Jul;0,010642;2008-07-01;;;;;
2008;Ago;0,010128;2008-08-01;;;;;
2008;Set;0,010985;2008-09-01;;;;;
2008;Out;0,011739;2008-10-01;;;;;
2008;Nov;0,009958;2008-11-01;;;;;
2008;Dez;0,011111;2008-12-01;;;;;
2007;Jan;0,010784;2007-01-01;;;;;
2007;Fev;0,008698;2007-02-01;;;;;
2007;Mar;0,010486;2007-03-01;;;;;
2007;Abr;0,009406;2007-04-01;;;;;
2007;Mai;0,010221;2007-05-01;;;;;
2007;Jun;0,009015;2007-06-01;;;;;
2007;Jul;0,009681;2007-07-01;;;;;
2007;Ago;0,009878;2007-08-01;;;;;
2007;Set;0,008006;2007-09-01;;;;;
2007;Out;0,009241;2007-10-01;;;;;
2007;Nov;0,008398;2007-11-01;;;;;
2007;Dez;0,008394;2007-12-01;;;;;
2006;Jan;0,014256;2006-01-01;;;;;
2006;Fev;0,011401;2006-02-01;;;;;
2006;Mar;0,014183;2006-03-01;;;;;
2006;Abr;0,010754;2006-04-01;;;;;
2006;Mai;0,012782;2006-05-01;;;;;
2006;Jun;0,011822;2006-06-01;;;;;
2006;Jul;0,01167;2006-07-01;;;;;
2006;Ago;0,012513;2006-08-01;;;;;
2006;Set;0,010532;2006-09-01;;;;;
2006;Out;0,010901;2006-10-01;;;;;
2006;Nov;0,010173;2006-11-01;;;;;
2006;Dez;0,009843;2006-12-01;;;;;
2005;Jan;0,013828;2005-01-01;;;;;
2005;Fev;0,012159;2005-02-01;;;;;
2005;Mar;0,01522;2005-03-01;;;;;
2005;Abr;0,01408;2005-04-01;;;;;
2005;Mai;0,015004;2005-05-01;;;;;
2005;Jun;0,015845;2005-06-01;;;;;
2005;Jul;0,015098;2005-07-01;;;;;
2005;Ago;0,016529;2005-08-01;;;;;
2005;Set;0,014997;2005-09-01;;;;;
2005;Out;0,014033;2005-10-01;;;;;
2005;Nov;0,013763;2005-11-01;;;;;
2005;Dez;0,014668;2005-12-01;;;;;
2004;Jan;0,012606;2004-01-01;;;;;
2004;Fev;0,010796;2004-02-01;;;;;
2004;Mar;0,013744;2004-03-01;;;;;
2004;Abr;0,011747;2004-04-01;;;;;
