"ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
15.210084033,-1.2718578395,2.0987433012,2.3602074811,-5.1598462013,3.2297011772,5.7591623037,-11.921005385,-9.4545454545,-4.9246813442,-5.2550223204,2.2610792887,7.7568134173,11.434977578,0.95131505332,3.4191642044,5.260685768,-3.0837004407,-4.5524691358,9.172413793,4.664723032,-3.813559322,-1.3104838711,15.869017632,6.7353698932,0.29978791608
8.6068563091,4.5876570181,9.9946418432,8.0473890566,7.0895522389,9.0935672513,5.4455445545,5.6257643701,8.4337349397,1.5843997562,4.2300066094,3.1839622643,3.6964980547,5.8350100604,2.5498891353,1.5924867292,0.62472110658,4.5454545456,7.4373484236,5.9696778269,6.1281337048,4.226291634,8.6823289072,12.391304347,7.9310344827,4.8029380436
-6.769923627,3.7075718015,7.0261042176,11.29798904,7.6804649954,2.1441972662,-1.6431924883,10.922423774,30.518518519,23.155368926,13.696892834,7.4618088493,11.364792251,7.6045627378,11.15638067,9.2533376484,-8.6474501109,1.231884058,2.7088036117,-4.1728763039,14.04199475,8.8624338627,6.0150375941,33.268858801,12.076677316,7.456083131
13.768115942,5.9415911381,3.620237203,4.4354132444,13.937730464,11.335607452,-4.7732696898,-1.7745302713,12.145289443,10.521188504,-0.0075889074651,0.41551246559,-6.835443038,-6.5371024736,8.296514482,7.4748977315,-4.708737864,13.171080887,12.087912088,3.5147744946,10.586881473,4.7873633048,2.3936170213,12.917271407,-9.150513113,4.8824134381
10.191082802,-0.66539923955,-1.8062038682,-1.0025710415,-1.3180515761,23.403252416,-0.072283310783,-11.477151966,11.589068825,11.679153812,-12.409167132,-1.2413793105,-0.81521739139,-3.4026465028,-4.9864007254,-2.9652705664,-6.8772287316,10.18342821,9.6078431372,-10.456730769,-12.27887617,0.86002348617,5.0216450216,13.23907455,0.72168183233,0.020163268709
-3.5531691998,-1.6267942584,-7.2713948174,-5.8003208266,-12.506041839,-13.292589763,-14.618369987,-7.6830732292,-15.056689342,-15.706393054,-0.12763241866,0.70317173595,1.4763209394,-0.37108915085,-0.95419847321,-1.8199119781,-11.92560175,-8.4385763491,-8.2886106142,9.7315436244,-12.692763938,-10.110803324,-2.0504569608,-2.8376844495,9.4704049845,-3.145670165
5.1204819278,5.0594990746,8.1722165101,6.3257688187,6.6015418948,-2.8740372426,4.0909090909,8.1491114001,3.2568072611,6.2734082398,28.375829752,0.22579734687,11.732851985,14.201183432,6.015407341,3.5759745086,3.6645962733,6.0188087775,4.6814044214,4.98470948,13.858695652,7.8948912407,11.016949152,6.3084112151,15.794136248,6.1567723329
-8.424068768,3.1484962406,22.741822991,20.450102692,24.701445632,15.255423373,9.1703056769,2.4188995672,5.1189245087,4.3612334801,0.099999999838,1.2109264995,16.316639742,18.825561312,22.458410351,22.776929402,-0.53924505692,25.96096984,22.360248447,5.9714535391,31.145584726,5.703883495,3.0534351145,30.32967033,2.9557873821,11.139251706
8.6511434125,0.54844606948,-6.3141655381,-4.8133663839,5.3427419356,-6.0109289617,9.4666666668,3.4271725825,21.839645843,17.771211482,8.6913086914,8.9315525876,15.416666666,14.53488372,4.8904844907,0.71951274458,-8.0120481927,8.6854460094,8.9340101522,3.490929082,-7.6433121019,-3.2835820894,4.4444444444,3.8785834739,8.6851628468,0.51923917144
1.4997332721,9.4090909091,4.5014670382,1.9325054536,-1.0810926023,3.3591731266,4.2630937878,2.8796844181,-15.220024222,-13.620071684,-0.86984763884,0.025542783987,-6.5650903273,-9.3908629441,5.2270125907,1.8763029881,-11.263916175,0.90712742967,-0.2329916123,-7.0385126163,-13.30049261,4.9382716048,2.1276595744,-11.363636363,-5.2396888209,0.014012296924
-9.7687861271,-3.0743664312,-8.7399022323,-3.6777452792,-10.553253716,-4.8958333333,-1.1682242989,2.7223926381,-9.1904761904,-5.3941908714,3.0509553111,-3.0046419817,7.4193548387,9.5238095239,-1.3052936909,-0.5556097085,30.520574188,5.4366438357,7.2863148062,3.4409954369,-0.22727272735,2.5338654646,11.068264367,0.25443218747,15.304430229,0.87850416494
-15.067526299,-15.602228889,-18.199562105,-15.572915226,-16.689362991,3.7376114427,-3.6397197277,-12.280701754,-23.282642895,-26.535087719,1.5808491416,0,-10.695013328,-12.469586175,-17.487141808,-15.717227179,-29.589509692,-9.7517651061,-17.205224205,-25.625711035,-12.300683371,-5.9183673469,-15.355837249,-24.311926605,4.02712143,-10.871318171
-8.1942336873,-7.8974098527,-6.4588636413,-7.7233689984,-5.3831793157,11.8061674,-4.8239895697,-6.3431982133,-16.678058783,-19.104477612,7.9601688269,-7.4614760746,-6.0135135135,-9.2511013217,-9.9478307398,-6.1096241126,-8.9068825912,-12.483100495,-9.4309799791,-10.936902485,2.0779220778,1.687153531,-1.7151379569,-11.272727272,-2.0541181117,-5.1998726835
5.3719008265,7.9532814238,15.253384075,14.382273533,13.438045375,7.7817178881,12.739726027,-6.4781021898,41.673502871,42.287822878,-20.651277824,9.2316681275,19.913731129,24.433656958,13.507625272,11.593304401,16.266666667,12.976313079,14.71785922,7.3422069558,16.79389313,-10.455276364,-5.2037525087,21.174863388,10.586811857,8.8753385673
-4.4219049006,-2.8851107675,-9.8805066505,-6.9851911793,-6.5236492395,8.2251873515,-9.3560145808,-0.53658536581,-8.3960625361,-6.1203319501,1.8181818183,3.5574569376,-2.9853915728,3.1434854185,-5.9927152715,-4.3683551588,6.1162079512,0.86324509175,-2.0883666984,-2.4,-4.3572984749,-2.6077700905,-0.8870967742,-9.019165727,0.59356845941,-3.2099165317
1.2396694216,-2.7055702918,2.6201060124,1.090035639,-1.8556837525,-1.3004560041,-4.0214477211,5.0024521825,-1.95954488,2.8729281767,1.2266905709,-3.8482384824,7.1695760598,1.5267175573,5.4830287207,4.437344693,-7.9971181556,9.7373188406,9.5015576322,-3.3196721311,6.3781321183,3.4507634264,-4.5565500407,3.0978934325,11.562849683,3.4754640636
24,-10.905125409,17.555125393,19.717378974,45.161290323,-10.763175907,54.05027933,22.512844465,51.515151515,42.857142857,5.5471507816,12.175873731,-5.410122164,-0.50125313282,11.287128712,11.640031735,30.540328896,25.134131242,30.962541489,18.4824078,2.4625267668,7.438016529,-1.1935208866,23.557692308,-5.1989301237,10.185117849
7.3074391046,3.5495716034,11.101513324,12.186987182,5.3962752198,3.8926174497,15.23118767,23.903926801,3.9574468085,6.4661654134,4.1567128525,10.740210955,-3.9838821515,-6.6873170401,9.7864768684,9.7390068042,-5.9388122377,-6.8828633384,-7.4527311941,1.0017889088,-7.314524556,10.923076923,2.329594478,-9.046692607,-6.8947275614,2.3797706683
4.4171779142,-7.2322801389,2.8793080677,2.5298417724,4.4730013307,-12.550756736,10.234488943,-2.5322158523,-0.81866557503,-0.52966101694,-0.50411689763,-2.5986990932,-4.2635658914,-5.1912568305,-1.8809832531,-1.3723413436,5.2295918369,-9.5178401033,-7.9283627301,11.583421891,-0.33821871484,-2.8190920213,-0.084317032088,-1.3903743316,-3.409090909,-1.8063544177
17.8613396,13.849154746,18.99386843,17.157238496,11.550871155,10.299704516,-0.072150072174,15.58101473,54.35410648,44.479943202,-10.793357933,26.741368867,5.600539811,7.3487031699,11.754966887,9.2856136398,20.848484848,16.338582677,12.78659612,37.682539682,15.384615384,0.75078711561,6.0111875655,7.2374225927,-10.784313725,10.816674587
-4.3868394816,-1.5990862365,-4.2555513266,-4.3562183271,-1.3340472105,4.094910065,3.9711191335,1.2177853299,-1.1229946525,-4.2506142507,-1.3443640125,-1.6487455197,-3.2587859424,-3.6241610737,-2.8972406529,-4.5935942753,-0.45135406217,1.0490693739,5.7857701329,-9.2690800091,28.235294118,3.6778846154,-4.6774193547,-1.5290519877,3.5164835164,-1.8578194185
0.23461939527,-2.3215322113,-1.7195291128,-0.71837931791,-3.4351890724,-6.4338235295,-3.4722222223,1.8466703974,-0.78420767977,-2.8483448807,-3.3018867924,3.7657920311,0.66979236417,-0.27560077424,-2.995951417,-2.2291637086,3.5264483626,4.3201607503,3.6954915004,6.7344345616,24.235474006,2.945055208,-0.25380710658,3.933747412,8.1316348194,-0.17763368178
1.7555266581,9.7445038622,-1.6636252355,-0.51590062403,1.9704433498,-6.1296660118,6.0431654676,14.250182018,-8.587805086,-4.7068010619,6.4498644986,4.1676422383,-6.5389696169,-4.3600562588,-0.58430717863,-1.699840186,4.0644662684,-3.8202247192,-3.3180744769,14.699306711,-10.523076923,-2.1045186028,-0.84817642073,-13.373977568,-1.6296878068,0.98388547831
17.31629393,-4.9810503519,5.3809933637,4.0464629743,5.254889796,-10.464629552,3.3556236745,16.504854369,5.2293577981,2.9437229437,-3.5132382892,4.3432178863,-1.4768611982,-4.1074891496,4.0302267002,3.5043619695,-10.618216139,-5.4460535068,-5.3972077606,-5.9361702127,19.348017665,3.3263453783,-5.9024807528,-4.9826187717,-2.1956087823,0.70261193887
11.165577342,1.9373219373,2.5041869683,2.05250615,4.368337879,-18.115942029,0.60975609758,1.2499999999,2.4411508282,0.92514718253,2.4274406333,-6.1528497411,9.5890410958,11.728395061,4.2037186742,3.6444190368,2.32312566,6.340772228,7.2798434445,6.9215109703,1.0278113663,-1.1927034613,5.7272727272,9.0243902439,5.7551020407,4.0573709332
1.6658500736,12.52096143,-6.4651445189,-8.0766648139,-8.750463478,-2.8261490153,-4.7811447811,1.1316872429,11.744680851,9.9999999999,-0.51519835142,11.042097998,-9.5394736841,-8.1491712706,-3.2583397982,-3.9315767693,-0.15479876156,-4.0972684877,-4.8522437068,12.968055849,-1.0771992818,7.8815640642,5.0730868445,-2.0029341626,-3.8788112698,0.83683612102
19.421686747,-7.0044709389,-2.549156956,-4.4397349747,-5.162263336,-17.097532315,4.3847241866,6.002034588,16.628585936,18.560606061,-7.0429829103,-6.8158276363,-5.8804123712,-5.4125698862,1.2499423552,-0.24244013703,4.6511627907,-1.0959200094,-1.4555485915,-3.1835205993,-13.127646702,2.1555555555,1.912533629,-9.7142857143,-8.5123469182,-0.66546098187
4.5197740114,2.8311965812,3.1954115359,3.0037892289,-1.1420912841,15.237420269,-2.9132791327,-4.7792706333,-12.603395733,-10.500532481,-0.2228412257,-1.3116940861,2.2533022533,0,7.4164629177,3.257184967,-5.1851851852,6.6501591793,8.0392156862,-4.0618955513,-5.9251485113,-2.7191646725,-3.1707317075,-1.1392405064,4.7838490234,3.5702021296
5.1737451739,-9.7142857144,8.3220374723,6.9321386642,5.8474389976,-12.422287763,-4.7452896022,12.215279177,-1.4694894148,-2.4512137078,-2.1217197097,1.9599008785,2.0516717324,0.64000000002,4.0212443097,3.4699414535,3.6458333332,8.4577114429,10.308529945,10.120967741,-10.808767951,-0.49194991052,-2.778601257,-7.042253521,-1.1518324608,2.3624062631
16.666666667,3.8550057538,-4.8200904421,-5.0663393299,0.081583436258,1.046931408,-4.3956043955,13.61595114,-11.923075539,-12.344474262,2.6811180833,3.3362792754,26.914515433,24.355672989,-3.209336251,-3.9072207648,2.8643216081,-4.0078430062,-3.4461096653,5.0897107287,6.440677966,4.0449438202,18.563922942,17.217630854,5.8898305086,0.94520761686
