,covid_min,covid_max,covid_mean,covid_sd,wo_covid_min,wo_covid_max,wo_covid_mean,wo_covid_sd
ALPA4,0.18034799801000648,0.46761947919249736,0.3206940257360275,0.15316656272151913,0.17037147604968858,0.4547532457868849,0.3099439275054683,0.15610609524096092
ABEV3,0.15981545982604115,0.41439996712672,0.29266999258689563,0.1599860329398347,0.14674662559778948,0.3736747447416219,0.26459328947895766,0.16319734949317016
BBDC3,0.21733095196935054,0.9394549897067757,0.4989827760332816,0.2108111545667671,0.21205381123487713,0.930971705932153,0.47746419736370527,0.21425472597871803
BBDC4,0.21063741673125794,0.9394549897067757,0.5211728970655276,0.2177123022052615,0.20708662257081648,0.930971705932153,0.5040946436368111,0.22184705043471128
BBAS3,0.1979337756624433,0.7738494991353295,0.5115824268999366,0.19752057886801508,0.20087012545325736,0.770689015793861,0.5010144675731771,0.2006537536706005
BRKM5,0.12609867298618996,0.4029464803522023,0.2867364065837831,0.15788369660843665,0.12128262032151231,0.3968668394033606,0.27491066152890203,0.1579045904249451
CMIG4,0.17408685903682522,0.6713600061857293,0.4574220501980815,0.17764863495635233,0.13015097532172756,0.651365913274046,0.43151234678614137,0.18444869675155118
CPLE6,0.1741587031539526,0.6713600061857293,0.4394639986280093,0.1736659469470616,0.16510508313577635,0.651365913274046,0.4219732595608096,0.17576947346463095
ELET3,0.11808624192032668,0.9412401741865974,0.40991117927108783,0.2054283068053341,0.08575347771346946,0.9381068034240432,0.40364546880322016,0.21020054418936435
ELET6,0.15340399899764273,0.9412401741865974,0.4067048992482294,0.20299737479581403,0.12147493809626206,0.9381068034240432,0.4026643911222304,0.2069668731057787
EMBR3,0.11808624192032668,0.3621824601783607,0.25091084874439945,0.16309590834782584,0.08575347771346946,0.34853112422080834,0.2320475536700153,0.1695615372099468
EGIE3,0.037208776329062304,0.3165641818708138,0.2518406914362015,0.1611834000407533,0.01640057136450281,0.280980973236638,0.22862136878489864,0.16445268349248163
GGBR4,0.21739000687580262,0.9263142790906433,0.48661296162795203,0.1943619760495875,0.19462740918822555,0.9207833496795838,0.47589118869178976,0.19972194175671235
GOAU4,0.1750145478843386,0.9263142790906433,0.4726153705122234,0.20013401204824985,0.14678406014885165,0.9207833496795838,0.4592577697712685,0.20627537809937704
ITSA4,0.22469498465382168,0.9465259875127167,0.5356213930987054,0.20917904432793347,0.22950110523347778,0.9450590794189341,0.522667078160241,0.2133676474291691
ITUB4,0.2076575340561617,0.9465259875127167,0.5157237234460519,0.21732946240540474,0.21722398486953573,0.9450590794189341,0.502186871742417,0.22056702255540897
LIGT3,0.14700787177312585,0.5508735461845701,0.39267598300451684,0.1515169973698138,0.10892109847393487,0.5072094866941063,0.3619653174401992,0.15810048237647267
PETR3,0.18543940037484374,0.9716328596494057,0.4766203255141463,0.20619680558329773,0.1477219554084218,0.968271040494183,0.4618499077977616,0.21502814860156585
PETR4,0.1874255924095059,0.9716328596494057,0.5045926961496727,0.21021415280846406,0.1452985794189093,0.968271040494183,0.49146123094376787,0.2188426558360104
SBSP3,0.19822810355054535,0.5896818205125144,0.4030852967130112,0.14761547992077972,0.16722212242877527,0.5789780069615208,0.39048715605280626,0.1511888299162546
CSNA3,0.15981545982604115,0.721468392766191,0.43085390574491317,0.19513594001212867,0.14674662559778948,0.7143751548869565,0.42135686598848604,0.19929336927058006
VIVT3,0.1800787880832122,0.42068987066248015,0.2950973467685877,0.15393207198018888,0.18537668680726188,0.45168175095537577,0.3077329216942604,0.15257314355971008
TIMS3,0.12609867298618996,0.48173014107070905,0.3184475042466902,0.16022078949413177,0.12128262032151231,0.4661827463088774,0.2999131044856252,0.16245225853819337
USIM5,0.172830966199689,0.7337619126731383,0.4757921303658406,0.19466147912795959,0.11925271838357801,0.7315524956977059,0.4744489111986481,0.20236205182753994
VALE3,0.037208776329062304,0.6150302545558117,0.3551195800825327,0.19897613542553277,0.01640057136450281,0.6140284489338638,0.34592188986481565,0.20525917405553248
IBOV,0.3165641818708138,0.8125812267880714,0.6127333148889066,0.16348814168905526,0.280980973236638,0.801450773072566,0.6002291976001177,0.16645002259452044
