,ALPA4,ABEV3,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,CPLE6,ELET3,ELET6,EMBR3,EGIE3,GGBR4,GOAU4,ITSA4,ITUB4,LIGT3,PETR3,PETR4,SBSP3,CSNA3,VIVT3,TIMS3,USIM5,VALE3,IBOV
ALPA4,1.0,0.24787057988903669,0.31056820294667037,0.3183272554097961,0.3141564539515173,0.18924997599423402,0.2701199067538115,0.23202449048632,0.2794235404572861,0.28310194713587833,0.17037147604968858,0.17683290152341763,0.2785786825850556,0.25289899901573576,0.38621465551895584,0.34810526234833583,0.19427557946219037,0.32129696370324945,0.3365830972391846,0.3617061981020346,0.27867258280611507,0.3041779758597351,0.30696868853232767,0.2516284950727464,0.1906349585119692,0.4547532457868849
ABEV3,0.24787057988903669,1.0,0.33616878230941344,0.3132131422086074,0.26603812119890075,0.19986512798443065,0.15899616836386823,0.2054259645558348,0.1639166841840476,0.16675639313302937,0.25235145950375054,0.1836111495190858,0.2775402147197611,0.22353063202608972,0.3443464690560816,0.28407912354707177,0.21392897569951552,0.16547169030690173,0.17691321184186343,0.30233224344538595,0.14674662559778948,0.24117963265631792,0.27046794314336625,0.21443550007018286,0.15056494675094573,0.3736747447416219
BBDC3,0.31056820294667037,0.33616878230941344,1.0,0.930971705932153,0.6587894418426075,0.21205381123487713,0.5012486716037394,0.4848838922090849,0.40149537440734134,0.385158268971466,0.23222766805337153,0.21582979645578512,0.4245264732731388,0.4196661325554313,0.795381596694763,0.7788691716429613,0.3365267385764419,0.5128975479774558,0.5640207880902134,0.4052112624717907,0.40201792456031676,0.265681075296793,0.3339972733448027,0.47748726731683405,0.32905709840048236,0.6993331652884002
BBDC4,0.3183272554097961,0.3132131422086074,0.930971705932153,1.0,0.6936962328423651,0.20708662257081648,0.5396027038024073,0.4923958131936668,0.4389532750724444,0.42923473359202885,0.2523517903228638,0.22270830766023078,0.46504475226973807,0.44979087811821133,0.8608519211063894,0.843473175651823,0.3444896989768845,0.5607764163823613,0.6149999991028994,0.40743325249813034,0.4362418852219282,0.26834632996414126,0.37851110125882226,0.511044279970506,0.3723491030001809,0.7545663584276929
BBAS3,0.3141564539515173,0.26603812119890075,0.6587894418426075,0.6936962328423651,1.0,0.2365149468044654,0.5531695896114658,0.5121752786579029,0.4657541704437213,0.4651397340253257,0.20087012545325736,0.2010119789064202,0.5671810966894032,0.5485520782859503,0.721927970330596,0.6885476433081538,0.37434455909855696,0.6197148762041689,0.6795844404050835,0.4342852707222331,0.5014856365471609,0.33479389135481785,0.2541815606000183,0.6061699741271321,0.35760206969751807,0.770689015793861
BRKM5,0.18924997599423402,0.19986512798443065,0.21205381123487713,0.20708662257081648,0.2365149468044654,1.0,0.21295186270472957,0.24770378942904148,0.2342628936804932,0.2607706571684612,0.2595738462189638,0.25028356028840915,0.30989493930172707,0.3015442743419516,0.22950110523347778,0.21722398486953573,0.3466809366764794,0.23323244949205843,0.20649428218123136,0.30354818698691427,0.26374995747867935,0.25352281734670346,0.12128262032151231,0.2713319778538326,0.18248573418506628,0.3968668394033606
CMIG4,0.2701199067538115,0.15899616836386823,0.5012486716037394,0.5396027038024073,0.5531695896114658,0.21295186270472957,1.0,0.651365913274046,0.5277687794099517,0.5221247541728296,0.13015097532172756,0.23053424869989866,0.42648266319895634,0.4407666472194024,0.5674184501711842,0.5500000592109621,0.4683419194384393,0.39787464358633384,0.4757774962529347,0.41808099088644335,0.2956954891258364,0.30969301075983785,0.2921318904068666,0.4680356859783864,0.23482696994617072,0.5761615265394462
CPLE6,0.23202449048632,0.2054259645558348,0.4848838922090849,0.4923958131936668,0.5121752786579029,0.24770378942904148,0.651365913274046,1.0,0.5411308790866232,0.5477666759430205,0.16510508313577635,0.23514922468914376,0.39473182420451985,0.40132604401477867,0.5058925745412417,0.48951719700522184,0.4249665465923158,0.3907233375320016,0.4205201313659499,0.4261970278953827,0.3165517512519763,0.324579468421035,0.33663298835284794,0.4148571852212841,0.2023133097584993,0.6073683577635339
ELET3,0.2794235404572861,0.1639166841840476,0.40149537440734134,0.4389532750724444,0.4657541704437213,0.2342628936804932,0.5277687794099517,0.5411308790866232,1.0,0.9381068034240432,0.08575347771346946,0.18114885656720264,0.37570307512046697,0.3617868729428336,0.47842564949652405,0.46419728720132397,0.4065383318435977,0.4354403718999827,0.46151865335118414,0.3927342784625707,0.3371167739348563,0.20990265258556629,0.1847771739612284,0.4049022960149638,0.1857495948889227,0.5382744427330786
ELET6,0.28310194713587833,0.16675639313302937,0.385158268971466,0.42923473359202885,0.4651397340253257,0.2607706571684612,0.5221247541728296,0.5477666759430205,0.9381068034240432,1.0,0.12147493809626206,0.17551847356118155,0.36852984662868266,0.35140094728795673,0.4757158122266742,0.46055129231829556,0.3895947991637274,0.4172849134419266,0.4396208330497571,0.4073530446031893,0.3556626410400493,0.18537668680726188,0.19278428093018848,0.3897312058386671,0.20233614864809835,0.5381783379699876
