,ALPA4,ABEV3,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,CPLE6,ELET3,ELET6,EMBR3,EGIE3,GGBR4,GOAU4,ITSA4,ITUB4,LIGT3,PETR3,PETR4,SBSP3,CSNA3,VIVT3,TIMS3,USIM5,VALE3,IBOV
ALPA4,1.0,0.25665417389385486,0.33428323191903475,0.34097283077961493,0.32755592512045417,0.20650379966021307,0.299345473634986,0.24019883281738483,0.2733319349481716,0.2737080087451732,0.2053451026922046,0.18034799801000648,0.3064684506694145,0.27763320261482977,0.40311999785851244,0.3543729492418307,0.24547001296447743,0.33097128568846323,0.34517977563357527,0.33324381549272153,0.31260861683618396,0.25893402697814694,0.30942830763437323,0.26832524862692386,0.1864221874836673,0.46761947919249736
ABEV3,0.25665417389385486,1.0,0.3813088381140487,0.36070436436166214,0.309842841150967,0.19219884510299662,0.22162256204749425,0.2366852847480112,0.18354521912513955,0.181853690753263,0.27747271813597274,0.2109750185093386,0.29386642456240536,0.24918323649506033,0.38209665646189467,0.3382476717389482,0.24854710448931605,0.2169199859597946,0.2275103350524749,0.32438848824018257,0.15981545982604115,0.2509151709088336,0.28692312333293957,0.217483273163751,0.18625935395817492,0.41439996712672
BBDC3,0.33428323191903475,0.3813088381140487,1.0,0.9394549897067757,0.6805985321108156,0.21733095196935054,0.5366381926392813,0.5162543167460742,0.41455939252357876,0.3987713284506073,0.25377260139026825,0.2575814684978514,0.4523569830348036,0.44755160263237276,0.8120073517402473,0.8004776532224327,0.3907158061373309,0.5391007147938262,0.5860624003137773,0.4118482559579744,0.42233494277167916,0.2664363380004843,0.3627452670758703,0.4771485154373391,0.34826790912396316,0.7259445925555328
BBDC4,0.34097283077961493,0.36070436436166214,0.9394549897067757,1.0,0.7091063462646449,0.21063741673125794,0.5691917014800162,0.5208302312554399,0.4439504564531799,0.43316249967185744,0.27141584116147327,0.2625103842986366,0.4884620240326379,0.4745657256978999,0.8683804618251892,0.8574155512534665,0.3985220875701921,0.580026866227027,0.6291874671094675,0.4093427579899034,0.4526206780086194,0.26712453919184714,0.3989217416546372,0.505626910633427,0.38583383217147327,0.772527618173372
BBAS3,0.32755592512045417,0.309842841150967,0.6805985321108156,0.7091063462646449,1.0,0.2256900761874198,0.5761314799604021,0.5338476762070895,0.4714497970510742,0.4665225518541402,0.1979337756624433,0.2372998990841944,0.5654883303691022,0.5511807420784813,0.7291614176532241,0.7046014736526065,0.41047420365853293,0.6350536668674742,0.6927469376404772,0.4394900042207323,0.4941937757682699,0.33099231025193415,0.2937117211142243,0.5865153083718583,0.35770480796245885,0.7738494991353295
BRKM5,0.20650379966021307,0.19219884510299662,0.21733095196935054,0.21063741673125794,0.2256900761874198,1.0,0.23437959456467655,0.26195271733412073,0.24699618838093348,0.2695552856852885,0.31299690780768447,0.24485438667421452,0.3333106091983956,0.3273859176265488,0.22469498465382168,0.2076575340561617,0.3471252924856982,0.25968515767721,0.2353419371935545,0.33953104503691955,0.31114218831404783,0.2035525099593027,0.12609867298618996,0.3052860664332723,0.20829200510687867,0.4029464803522023
CMIG4,0.299345473634986,0.22162256204749425,0.5366381926392813,0.5691917014800162,0.5761314799604021,0.23437959456467655,1.0,0.6713600061857293,0.5286676838050861,0.520653648681179,0.17408685903682522,0.26575213664971603,0.4529380430541605,0.46543928868598683,0.5925300557695314,0.5754937721105672,0.4992438249181632,0.44784387460833874,0.5158654827419621,0.454450254373976,0.32141687301598765,0.3064592602539005,0.32506684234300615,0.4661547201358976,0.2597765676617422,0.6124651067915075
CPLE6,0.24019883281738483,0.2366852847480112,0.5162543167460742,0.5208302312554399,0.5338476762070895,0.26195271733412073,0.6713600061857293,1.0,0.5394932252966672,0.5419270862566357,0.1741587031539526,0.26509076197297027,0.41374101676035785,0.42090849939726716,0.5296770928721466,0.5167829752059747,0.4545045346919094,0.42149354130885675,0.4491930247200503,0.458100066615779,0.33089636937531547,0.31951008330397435,0.3601340190861535,0.4137981824710862,0.21679309182883288,0.618732624716461
ELET3,0.2733319349481716,0.18354521912513955,0.41455939252357876,0.4439504564531799,0.4714497970510742,0.24699618838093348,0.5286676838050861,0.5394932252966672,1.0,0.9412401741865974,0.11808624192032668,0.19958096452238872,0.3869707695780787,0.37844979627438,0.4800075657083677,0.4585355835396361,0.4068541784689939,0.4301027082178277,0.45767221632023936,0.39744033730836636,0.3443690481411863,0.20626831996981995,0.20139627419025163,0.41212019715782955,0.19735488148768837,0.5392475064724747
ELET6,0.2737080087451732,0.181853690753263,0.3987713284506073,0.43316249967185744,0.4665225518541402,0.2695552856852885,0.520653648681179,0.5419270862566357,0.9412401741865974,1.0,0.15340399899764273,0.19255010756488578,0.3760150642740138,0.3639387993385068,0.47626035516240317,0.4519979406609583,0.38712994864849415,0.41517591774505946,0.43823264929905886,0.40669119993294717,0.3574391127751817,0.1800787880832122,0.20764811904570518,0.39236111399786927,0.21134369289875285,0.5366662977445316
