,ALPA4,ABEV3,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,CPLE6,ELET3,ELET6,EMBR3,EGIE3,GGBR4,GOAU4,ITSA4,ITUB4,LIGT3,PETR3,PETR4,SBSP3,CSNA3,VIVT3,TIMS3,USIM5,VALE3,IBOV,min,max,mean,sd
ALPA4,1.0,0.24787057988903677,0.31056820294667015,0.31832725540979634,0.3141564539515177,0.18924997599423418,0.2701199067538113,0.2320244904863204,0.27942354045728596,0.2831019471358781,0.17037147604968855,0.17683290152341766,0.27857868258505525,0.25289899901573565,0.38621465551895606,0.348105262348336,0.19427557946219007,0.3212969637032495,0.3365830972391846,0.36170619810203475,0.2786725828061152,0.30417797585973505,0.3069686885323278,0.25162849507274626,0.19063495851196913,0.45475324578688536,,,,
ABEV3,0.24787057988903677,1.0,0.3361687823094131,0.31321314220860763,0.2660381211989011,0.19986512798443076,0.1589961683638683,0.20542596455583498,0.1639166841840476,0.1667563931330294,0.25235145950375076,0.18361114951908591,0.2775402147197611,0.2235306320260897,0.34434646905608196,0.284079123547072,0.21392897569951536,0.16547169030690193,0.17691321184186348,0.3023322434453859,0.14674662559778945,0.2411796326563177,0.27046794314336625,0.214435500070183,0.15056494675094567,0.37367474474162193,,,,
BBDC3,0.31056820294667015,0.3361687823094131,1.0,0.9309717059321526,0.6587894418426072,0.21205381123487707,0.5012486716037398,0.48488389220908473,0.4014953744073415,0.385158268971466,0.23222766805337172,0.21582979645578526,0.4245264732731384,0.4196661325554307,0.7953815966947637,0.7788691716429605,0.3365267385764419,0.5128975479774561,0.5640207880902132,0.40521126247179085,0.4020179245603167,0.2656810752967931,0.3339972733448027,0.47748726731683283,0.32905709840048225,0.6993331652884007,,,,
BBDC4,0.31832725540979634,0.31321314220860763,0.9309717059321526,1.0,0.6936962328423651,0.20708662257081642,0.5396027038024075,0.4923958131936668,0.4389532750724447,0.4292347335920289,0.252351790322864,0.222708307660231,0.4650447522697377,0.4497908781182108,0.8608519211063899,0.8434731756518231,0.3444896989768845,0.5607764163823615,0.6149999991028996,0.40743325249813084,0.4362418852219282,0.2683463299641412,0.3785111012588224,0.5110442799705052,0.37234910300018137,0.7545663584276939,,,,
BBAS3,0.3141564539515177,0.2660381211989011,0.6587894418426072,0.6936962328423651,1.0,0.23651494680446522,0.553169589611466,0.5121752786579032,0.46575417044372136,0.4651397340253253,0.20087012545325753,0.20101197890642042,0.5671810966894039,0.5485520782859503,0.7219279703305971,0.6885476433081544,0.37434455909855724,0.6197148762041685,0.679584440405084,0.43428527072223344,0.5014856365471614,0.33479389135481813,0.25418156060001834,0.6061699741271319,0.35760206969751834,0.7706890157938613,,,,
BRKM5,0.18924997599423418,0.19986512798443076,0.21205381123487707,0.20708662257081642,0.23651494680446522,1.0,0.21295186270472963,0.2477037894290416,0.2342628936804931,0.26077065716846115,0.25957384621896384,0.2502835602884093,0.30989493930172723,0.30154427434195147,0.22950110523347791,0.21722398486953584,0.3466809366764792,0.23323244949205857,0.20649428218123136,0.3035481869869137,0.2637499574786794,0.2535228173467034,0.1212826203215124,0.2713319778538327,0.1824857341850661,0.3968668394033606,,,,
CMIG4,0.2701199067538113,0.1589961683638683,0.5012486716037398,0.5396027038024075,0.553169589611466,0.21295186270472963,1.0,0.6513659132740462,0.5277687794099519,0.5221247541728291,0.13015097532172742,0.23053424869989875,0.42648266319895656,0.44076664721940273,0.5674184501711843,0.550000059210962,0.46834191943843934,0.3978746435863337,0.4757774962529349,0.418080990886444,0.29569548912583654,0.30969301075983763,0.29213189040686643,0.4680356859783866,0.2348269699461706,0.5761615265394457,,,,
CPLE6,0.2320244904863204,0.20542596455583498,0.48488389220908473,0.4923958131936668,0.5121752786579032,0.2477037894290416,0.6513659132740462,1.0,0.5411308790866234,0.5477666759430203,0.16510508313577663,0.23514922468914404,0.3947318242045199,0.4013260440147792,0.5058925745412423,0.48951719700522245,0.42496654659231614,0.39072333753200195,0.42052013136595023,0.4261970278953831,0.31655175125197665,0.3245794684210351,0.33663298835284805,0.41485718522128434,0.20231330975849968,0.6073683577635345,,,,
ELET3,0.27942354045728596,0.1639166841840476,0.4014953744073415,0.4389532750724447,0.46575417044372136,0.2342628936804931,0.5277687794099519,0.5411308790866234,1.0,0.9381068034240432,0.08575347771346965,0.18114885656720284,0.375703075120467,0.3617868729428337,0.47842564949652444,0.464197287201324,0.40653833184359733,0.435440371899983,0.46151865335118475,0.39273427846257103,0.3371167739348563,0.20990265258556617,0.18477717396122836,0.4049022960149638,0.18574959488892256,0.5382744427330789,,,,
ELET6,0.2831019471358781,0.1667563931330294,0.385158268971466,0.4292347335920289,0.4651397340253253,0.26077065716846115,0.5221247541728291,0.5477666759430203,0.9381068034240432,1.0,0.121474938096262,0.17551847356118172,0.3685298466286826,0.35140094728795684,0.4757158122266743,0.46055129231829534,0.3895947991637273,0.41728491344192653,0.43962083304975735,0.4073530446031898,0.35566264104004913,0.18537668680726188,0.19278428093018854,0.389731205838667,0.20233614864809815,0.5381783379699874,,,,
EMBR3,0.17037147604968855,0.25235145950375076,0.23222766805337172,0.252351790322864,0.20087012545325753,0.25957384621896384,0.13015097532172742,0.16510508313577663,0.08575347771346965,0.121474938096262,1.0,0.21752985817650658,0.21951185439460108,0.14678406014885176,0.28141338490606693,0.24942146469365054,0.10892109847393507,0.14772195540842167,0.14529857941890933,0.2939226846698581,0.18191795892562931,0.21668089835709614,0.26417371256982847,0.11925271838357793,0.22192420280352798,0.34853112422080873,,,,
EGIE3,0.17683290152341766,0.18361114951908591,0.21582979645578526,0.222708307660231,0.20101197890642042,0.2502835602884093,0.23053424869989875,0.23514922468914404,0.18114885656720284,0.17551847356118172,0.21752985817650658,1.0,0.19462740918822574,0.20304572305048246,0.23764095845773267,0.22886217320313457,0.21833236412939638,0.15115381739226227,0.1737562680926299,0.23783901583211842,0.16296610679939466,0.1938814096194547,0.17255294056173703,0.1819575014323747,0.016400571364502795,0.2809809732366382,,,,
GGBR4,0.27857868258505525,0.2775402147197611,0.4245264732731384,0.4650447522697377,0.5671810966894039,0.30989493930172723,0.42648266319895656,0.3947318242045199,0.375703075120467,0.3685298466286826,0.21951185439460108,0.19462740918822574,1.0,0.9207833496795833,0.5367836421117915,0.5023419173584666,0.3842623018471994,0.5258621914290101,0.5777875250936515,0.42151370079138917,0.6263107729280329,0.32697401302070056,0.27069298704047506,0.7226685440272835,0.5571283680266922,0.6977087610579821,,,,
GOAU4,0.25289899901573565,0.2235306320260897,0.4196661325554307,0.4497908781182108,0.5485520782859503,0.30154427434195147,0.44076664721940273,0.4013260440147792,0.3617868729428337,0.35140094728795684,0.14678406014885176,0.20304572305048246,0.9207833496795833,1.0,0.48914539009401115,0.4748593293348015,0.4001658644648074,0.5164334475411668,0.5823467230348343,0.36451778031525295,0.5764868771849265,0.28018655735727843,0.2724579886046716,0.7315524956977066,0.5839852618749145,0.6466876598613498,,,,
ITSA4,0.38621465551895606,0.34434646905608196,0.7953815966947637,0.8608519211063899,0.7219279703305971,0.22950110523347791,0.5674184501711843,0.5058925745412423,0.47842564949652444,0.4757158122266743,0.28141338490606693,0.23764095845773267,0.5367836421117915,0.48914539009401115,1.0,0.9450590794189344,0.3400367085159129,0.5445909667428015,0.5913989520654153,0.4666305023396844,0.42613492760603344,0.31860716546199036,0.3654068273863562,0.5137727218637678,0.3655958277473156,0.8014507730725654,,,,
ITUB4,0.348105262348336,0.284079123547072,0.7788691716429605,0.8434731756518231,0.6885476433081544,0.21722398486953584,0.550000059210962,0.48951719700522245,0.464197287201324,0.46055129231829534,0.24942146469365054,0.22886217320313457,0.5023419173584666,0.4748593293348015,0.9450590794189344,1.0,0.30050946619557156,0.5666640806435036,0.6012563527271028,0.39797895363309976,0.4327582186356689,0.26524400986711466,0.3575739153442477,0.48803030741106246,0.3457149204431447,0.7760202792896571,,,,
LIGT3,0.19427557946219007,0.21392897569951536,0.3365267385764419,0.3444896989768845,0.37434455909855724,0.3466809366764792,0.46834191943843934,0.42496654659231614,0.40653833184359733,0.3895947991637273,0.10892109847393507,0.21833236412939638,0.3842623018471994,0.4001658644648074,0.3400367085159129,0.30050946619557156,1.0,0.3372320624551078,0.37720806704039544,0.3621927428620898,0.28174435186424457,0.36898423632828203,0.22458931646240754,0.42050212021498495,0.2795199803685892,0.5072094866941066,,,,
PETR3,0.3212969637032495,0.16547169030690193,0.5128975479774561,0.5607764163823615,0.6197148762041685,0.23323244949205857,0.3978746435863337,0.39072333753200195,0.435440371899983,0.41728491344192653,0.14772195540842167,0.15115381739226227,0.5258621914290101,0.5164334475411668,0.5445909667428015,0.5666640806435036,0.3372320624551078,1.0,0.9682710404941834,0.3385770275025477,0.5617759303030532,0.2573276306326231,0.30893101454291,0.5598798488827584,0.4519663786193794,0.7169969996256329,,,,
PETR4,0.3365830972391846,0.17691321184186348,0.5640207880902132,0.6149999991028996,0.679584440405084,0.20649428218123136,0.4757774962529349,0.42052013136595023,0.46151865335118475,0.43962083304975735,0.14529857941890933,0.1737562680926299,0.5777875250936515,0.5823467230348343,0.5913989520654153,0.6012563527271028,0.37720806704039544,0.9682710404941834,1.0,0.364618512803659,0.5583564302869324,0.28530141051843677,0.33756531080608715,0.6266876749217997,0.46541612881316197,0.746690095540465,,,,
SBSP3,0.36170619810203475,0.3023322434453859,0.40521126247179085,0.40743325249813084,0.43428527072223344,0.3035481869869137,0.418080990886444,0.4261970278953831,0.39273427846257103,0.4073530446031898,0.2939226846698581,0.23783901583211842,0.42151370079138917,0.36451778031525295,0.4666305023396844,0.39797895363309976,0.3621927428620898,0.3385770275025477,0.364618512803659,1.0,0.3701275779335063,0.29734419145820085,0.1672221224287753,0.4370794526824062,0.19524202908478297,0.5789780069615216,,,,
CSNA3,0.2786725828061152,0.14674662559778945,0.4020179245603167,0.4362418852219282,0.5014856365471614,0.2637499574786794,0.29569548912583654,0.31655175125197665,0.3371167739348563,0.35566264104004913,0.18191795892562931,0.16296610679939466,0.6263107729280329,0.5764868771849265,0.42613492760603344,0.4327582186356689,0.28174435186424457,0.5617759303030532,0.5583564302869324,0.3701275779335063,1.0,0.2458792036106959,0.2253408116745147,0.7143751548869562,0.6140284489338639,0.6431344765624788,,,,
