"Data","ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
2000-01-01,-6.3551237016,6.1293904095,-2.0786792138,3.2005468564,-5.9523821403,2.0066930636,-23.95061792,-17.714287478,-17.047655833,-13.722832524,-7.8888893127,10.382513661,4.1666673134,0,-8.5005414917,-18.670323668,20.628141599,-14.991126437,-11.304351093,-5.7048544343,-16.428572721,33.243478551,-6.1083198601,7.1428550576,14.285714285,-4.1132759932
2000-02-01,2.4271821483,-9.0886382031,-10.708151812,-12.924411081,-5.6961990249,2.2202239501,-5.4870139766,12.50000485,-4.3925235163,-7.1736047212,1.7454426135,-1.98019802,-1.6000047088,-3.4482743855,-3.5294153122,11.574343377,1.6413251748,26.466875429,12.745102192,-12.249998565,-6.2622350381,18.749998468,21.917802364,-8.5714249384,-15.000001589,7.7617769099
2000-03-01,9.9526058319,12.872180733,9.9345329787,13.243935705,-14.248765842,-1.1513108071,4.706285618,-6.507126333,1.0101011329,3.5548712231,8.7956325346,-4.5454545454,-7.5203240337,-4.7619056068,3.8445404234,10.379211422,-9.8323721691,4.3049474101,4.4496137709,0.56979321598,13.863216979,-15.444107336,31.460673805,-7.9428320182,-1.9607824805,0.90600226504
2000-04-01,-5.1189039763,5.20487166,-6.9167932416,-8.1199863083,-4.610490986,1.3294513288,-7.6850157926,-9.0847454289,-13.870968439,-11.044779322,6.1452536587,-13.756613756,-4.1758212607,1.2500025612,-8.8235347742,-12.861059012,-5.2999976294,-9.0909072437,-8.8771204794,-3.3982805499,-17.224024929,-11.151319328,-18.632477735,-12.716756951,0,-12.811447811
2000-05-01,14.813393619,0,-4.7893832278,-6.5722074677,-4.9999992239,1.5055971895,2.1818212606,9.619687034,8.9138594964,3.6912751888,-13.789478101,11.042944785,-4.8623838475,-3.7037020003,-3.8709641693,1.9084658245,-12.642798917,1.2499987892,-2.5807938477,-21.988267673,17.670127921,2.1843773238,-1.470589674,5.9602622237,2.5,-3.7394606424
2000-06-01,0.016667243108,22.578948706,20.656146891,27.561080426,13.157896671,11.820098132,14.313815878,15.646263416,27.23521583,29.126218684,34.736059462,20.994475138,8.2308999627,2.6105167333,17.650236072,15.344028961,12.631870162,30.8148133,30.071599119,10.522530639,-5.6999985161,-28.623187354,35.394458809,4.2500019073,9.7317114109,11.841401444
2000-07-01,8.3416640142,20.22326994,1.8683502376,-0.71159630024,-3.1007770407,18.741161963,6.1904744447,-3.9411816138,6.7567602944,6.5413481536,-7.4659057839,13.698630137,6.7272731891,-0.51281963106,2.2857121059,4.466117835,18.542368539,-12.419777412,-14.091743679,16.789826893,0.74231249018,4.0609162494,-25.984252142,17.505995341,-1.0891346081,-1.6320918276
2000-08-01,10.492666036,3.5714337411,6.6917264263,8.3385520786,0.92649453054,-2.6956883321,-2.541104597,1.1022684577,-13.670890516,-12.96165317,16.949151092,15.662650602,11.158434391,10.824742763,8.8280332146,5.7562512849,0.41563814939,24.245688858,17.684747615,23.125000815,15.964914562,14.634139249,23.40425553,10.10993495,3.8202264337,5.4211741826
2000-09-01,-0.70422675626,8.4420296609,-5.1665582948,-0.17878882545,1.4610425565,-1.3157882353,-6.2883470636,-0.060572631992,5.2785943617,1.2702736336,7.9796036396,-1.0416666666,-9.3869749438,-4.6511633951,-2.9579102968,-5.7010555436,2.8687345779,-4.2497843852,-4.3557128452,-7.1873922048,-11.815431425,-16.170209629,-25.862065505,-0.94339979123,-8.9826871372,-8.1747953419
2000-10-01,-6.3829809719,21.794874734,-16.574077509,-22.606431873,-6.5599976992,-1.6000032426,-5.139114293,5.0303046723,-5.5710314789,-9.5276258548,-12.044370189,3.5087719296,-15.433405237,-5.1219560063,-13.90374277,-9.4042696726,-13.150872817,0.18115665353,-3.9658446344,-3.3762125034,-9.092469066,-7.8680210966,-13.953491268,-6.6666648501,4.6373384026,-6.6612255148
2000-11-01,-1.5151545939,2.3684219606,35.732991966,14.615646167,-2.3972624858,-13.826034153,-13.043477981,-9.9826923401,-4.1002918473,-2.3893836041,-8.3783808397,-3.3898305083,-25.049998054,-24.190230565,-1.2422348291,1.0679584535,-3.2110089234,-7.7938474105,-6.1450317582,-11.25000379,-2.8118524549,-3.5812662846,-11.621622012,-18.367348528,-15.909090909,-10.627564404
2000-12-01,0,22.095657565,20.369971395,30.42483333,4.7368372465,-3.3816374116,11.90476384,2.9715381992,10.888950945,8.824423765,21.989916092,3.1578947368,18.879256731,16.988808275,25.219905589,25.563389308,6.1611429966,-4.8833135841,-3.6210552015,17.0078624,20.582525452,6.5714333457,22.018352609,9.7499966621,25.675675676,14.841574471
2001-01-01,32.307701654,10.638294094,-7.427472023,-3.1220996506,32.663316661,12.499997516,26.91489165,24.68355072,20.055701025,20.169113807,28.744932206,12.585034013,25.206239765,14.54795542,6.2176169964,0.85714818651,14.285716186,12.989689148,19.069462156,27.011498387,28.697066861,41.262011265,5.4619417357,35.535307295,18.137595553,15.813618192
