"Data","RRRP3","ALPA4","ABEV3","AMER3","ASAI3","AZUL4","B3SA3","BIDI11","BPAN4","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","BPAC11","CRFB3","CCRO3","CMIG4","CESP6","CIEL3","COGN3","CPLE6","CSAN3","CPFE3","CMIN3","CVCB3","CYRE3","DXCO3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","ENGI11","ENEV3","EGIE3","EQTL3","EZTC3","FLRY3","GGBR4","GOAU4","GOLL4","NTCO3","SOMA3","HAPV3","HYPE3","IGTI11","IRBR3","ITSA4","ITUB4","JBSS3","KLBN11","LIGT3","RENT3","LCAM3","LWSA3","AMAR3","LREN3","MGLU3","MRFG3","CASH3","BEEF3","MOVI3","MRVE3","MULT3","PCAR3","PETR3","PETR4","PRIO3","PETZ3","PSSA3","POSI3","QUAL3","RADL3","RDOR3","RAIL3","SBSP3","SANB11","STBP3","CSNA3","SLCE3","SULA11","SUZB3","VIVT3","TIMS3","TOTS3","UGPA3","USIM5","VALE3","VIIA3","VBBR3","WEGE3","YDUQ3","IBOV"
2017-06-01,0,15.210084033,-1.2718578395,-7.3634204276,0,-0.59347181004,7.2204125949,0,-11.666666666,-1.5463917525,-0.25041736235,2.0987433012,2.3602074811,7.7405857741,-5.1598462013,3.2297011772,-9.5106186519,2.1201413429,0,1.9300361882,5.7591623037,-5.5521659549,8.3718815116,2.551724138,-11.921005385,-4.024424091,0.83682008371,0,7.9666666668,2.5257249767,1.7434620175,12.5,-9.4545454545,-4.9246813442,-5.2550223204,6.3718140931,6.1333333335,0,2.2610792887,1.4606741574,-0.22484541887,-5.5839351771,7.7568134173,11.434977578,-3.2051282051,-21.093030396,0,0,-1.3301871171,0,0,0.95131505332,3.4191642044,-19.083023544,-2.8143712575,5.260685768,3.8408463663,6.7749974582,0,-21.439509954,4.0836346821,1.9920318726,7.3015873015,0,12.728937728,10.864745011,4.4015444017,2.7648112406,0,-3.0837004407,-4.5524691358,0,0,-4.9378881988,1.5337423312,2.426837973,-2.4249851925,0,2.0047169812,9.172413793,-1.7295597486,4.6153846153,4.664723032,4.6108081307,-0.84033613439,0,-3.813559322,-1.3104838711,-0.066269052331,3.5671342686,15.869017632,6.7353698932,8.9430894308,0,-6.8421052631,-15.928694652,0.29978791608
2017-07-01,0,8.6068563091,4.5876570181,13.675213675,0,16.417910448,3.7468354429,0,18.238993711,-4.1884816754,10.460251046,9.9946418432,8.0473890566,12.038834951,7.0895522389,9.0935672513,-5.8163265307,10.019888643,0,1.0650887574,5.4455445545,0.77519379847,6.0975609756,1.4122394083,5.6257643701,4.3956043955,1.3202565069,0,10.064834825,11.678832116,-3.0599755202,3.2850241545,8.4337349397,1.5843997562,4.2300066094,1.2684989428,4.2713567838,2.4246877296,3.1839622643,4.6511627908,10.309859154,12.052238806,3.6964980547,5.8350100604,18.543046357,-2.5291828795,0,0,0.68345323743,0,0,2.5498891353,1.5924867292,17.917304747,-1.4171287739,0.62472110658,15.404100194,25.190839695,0,15.009746588,7.0124178232,43.3125,-5.0295857987,0,0.7311129164,-0.9,5.9911242604,10.042865891,0,4.5454545456,7.4373484236,1.6847826088,0,5.5047552876,19.335347432,14.285714285,-1.5832263585,0,19.537572254,5.9696778269,2.0400000001,3.9215686274,6.1281337048,3.1279620855,-0.84745762715,0,4.226291634,8.6823289072,-0.53050397873,-4.5407636739,12.391304347,7.9310344827,45.771144279,0,7.6698077139,39.534883721,4.8029380436
2017-08-01,0,-6.769923627,3.7075718015,39.022556391,0,-2.7472527472,8.1526604057,0,-1.5957446808,4.117205974,3.0303030304,7.0261042176,11.29798904,16.464471404,7.6804649954,2.1441972662,15.16793066,7.5000000001,4.359313078,2.224824356,-1.6431924883,-5.5769230769,-14.061302682,20.019665738,10.922423774,6.8975069255,0.85629188379,0,7.1528751752,7.679738562,8.5858585861,0.093545369418,30.518518519,23.155368926,13.696892834,6.0542797497,0.61387474871,14.777618364,7.4618088493,7.7954144621,13.789581205,6.2388551611,11.364792251,7.6045627378,26.592178771,17.764471058,0,0,5.430510897,0,2.4240355069,11.15638067,9.2533376484,12.597402597,7.8656297334,-8.6474501109,14.739884392,11.498257839,0,20.847457627,4.4368600684,54.819014392,11.059190031,0,-6.6129032257,-4.2381432895,-5.8618283321,1.6833611575,0,1.231884058,2.7088036117,17.290219134,0,10.317460317,-14.683544303,6.25,0.50724637676,0,-0.096711798778,-4.1728763039,10.474893817,36.79245283,14.04199475,2.0220588236,2.4501424503,0,8.8624338627,6.0150375941,4.2017384007,0.44287011588,33.268858801,12.076677316,14.334470989,0,8.0253431888,26.519607843,7.456083131
2017-09-01,0,13.768115942,5.9415911381,14.33207139,0,9.9811676084,8.273056058,0,1.6216216216,3.2828282827,3.455882353,3.620237203,4.4354132444,-10.342261904,13.937730464,11.335607452,7.4082784571,15.361077111,-1.835443038,1.4318442154,-4.7732696898,-2.0366598778,-0.43180542825,11.574846967,-1.7745302713,-6.1933143302,0.47988187525,0,7.1989528795,4.7040971169,10.116279069,6.6355140187,12.145289443,10.521188504,-0.0075889074651,-0.65616797901,3.4315704481,-2.8125,0.41551246559,0.21269633507,0.98743267499,-7.0347003154,-6.835443038,-6.5371024736,17.828773169,5.7627118644,0,0,9.1155540495,0,0.83333333332,8.296514482,7.4748977315,-1.9607843136,7.1845794393,-4.708737864,-2.7926168676,3.9658944426,0,31.556802244,18.083357221,4.5211267607,-9.2566619915,0,-3.2815198619,-11.696522655,2.0014825795,0.77603102327,0,13.171080887,12.087912088,5.7416267942,0,8.4028776977,5.3412462908,9.8112168942,8.3752174145,0,17.037754114,3.5147744946,-1.4265335236,20.344827586,10.586881473,11.261261261,-0.50055617348,0,4.7873633048,2.3936170213,0.77269800386,2.5323349219,12.917271407,-9.150513113,17.014925373,0,4.5943304009,20.069740411,4.8824134381
2017-10-01,0,10.191082802,-0.66539923955,0.42573320716,0,-6.1643835617,-0.2087682672,0,5.3191489362,-3.1435557107,-9.8791755509,-1.8062038682,-1.0025710415,-0.41493775934,-1.3180515761,23.403252416,-3.1092620976,16.76392573,3.6750483558,5.2017831327,-0.072283310783,-9.9099099099,1.8198362148,-10.274314214,-11.477151966,3.3149171271,1.0286554005,0,5.4945054946,-7.2463768116,0.9503695881,6.9237510954,11.589068825,11.679153812,-12.409167132,-4.8877146633,-3.5128805621,-14.147909967,-1.2413793105,-0.40816326537,-4.4444444444,-2.0020359689,-0.81521739139,-3.4026465028,3.745318352,-0.73717948717,0,0,6.2111801242,0,8.4628099174,-4.9864007254,-2.9652705664,-11.294117647,2.9972752043,-6.8772287316,0.27724831052,24.018126888,0,-16.31130064,-4.3815862452,-14.095135426,-0.61823802171,0,2.6785714286,-2.1479713604,-8.0668604652,-2.4955679803,0,10.18342821,9.6078431372,22.301228184,0,-3.2612969935,-10.985915492,-7.6517150396,4.2799999999,0,5.0454921422,-10.456730769,3.9919417764,0.28653295121,-12.27887617,-2.7845915407,0.22358859678,0,0.86002348617,5.0216450216,4.089456869,3.7046872925,13.23907455,0.72168183233,-3.0612244897,0,-0.28995733346,-5.3565666344,0.020163268709
2017-11-01,0,-3.5531691998,-1.6267942584,-19.029674988,0,-1.9343065694,-2.4301531692,0,-5.0505050505,-3.0652722683,-4.6529968455,-7.2713948174,-5.8003208266,5.4583333334,-12.506041839,-13.292589763,-13.039548022,-13.675601999,-5.5348258706,-13.021978022,-14.618369987,-5.6153846153,2.3235031278,1.2964070607,-7.6830732292,-4.1978609626,-23.672727273,0,4.0972222221,-4.8437500001,-7.6359832635,0.53647026416,-15.056689342,-15.706393054,-0.12763241866,-4.1666666666,2.4271844661,4.4943820225,0.70317173595,4.8360655739,1.1627906977,-9.1759002769,1.4763209394,-0.37108915085,1.3718411552,-5.8443655151,0,0,-3.9473684212,0,6.5162670537,-0.95419847321,-1.8199119781,4.9071618037,-4.7344051367,-11.92560175,3.8361845514,-4.993909866,0,-9.5541401274,-1.5951276102,-10.870588235,6.5318818039,0,-5.652173913,-15.609756097,5.533596838,-2.7412587411,0,-8.4385763491,-8.2886106142,12.91402396,0,0.33604032487,-3.7974683544,-12.371428571,12.517580872,0,2.5196850394,9.7315436244,1.0136315974,-4.2857142857,-12.692763938,1.181818182,-0.22308979351,0,-10.110803324,-2.0504569608,-7.0902394109,-10.115236875,-2.8376844495,9.4704049845,-3.1578947369,0,7.5187969924,4.5005114218,-3.145670165
2017-12-01,0,5.1204819278,5.0594990746,19.255381035,0,0.11164867883,-0.81574634023,0,-0.53191489351,5.9895833332,5.2936311002,8.1722165101,6.3257688187,17.31248931,6.6015418948,-2.8740372426,-4.8856548857,-0.052631579092,0.39499670838,2.0214782058,4.0909090909,7.5794621025,3.2221581185,1.5452538632,8.1491114001,15.824727881,-7.813244402,0,8.5245657294,8.538587849,5.2544188757,2.2443890273,3.2568072611,6.2734082398,28.375829752,2.3607894918,7.8199052132,-0.3584229391,0.22579734687,2.6583268178,11.907489717,12.886008387,11.732851985,14.201183432,3.9886039887,14.024254884,0,0,9.5890410959,0,-1.0189228528,6.015407341,3.5759745086,24.02022756,-1.4005602241,3.6645962733,10.476553019,23.616293493,0,2.1126760563,4.8330924692,42.02409213,6.8613138686,0,-1.8433179725,1.8786127168,12.65917603,2.4312491169,0,6.0188087775,4.6814044214,27.633016071,0,1.3954786491,2.3026315788,2.9246441087,4.5040955518,0,-0.38402457758,4.98470948,10.311418685,1.1940298507,13.858695652,19.811320755,4.3040804918,6.7390062821,7.8948912407,11.016949152,-0.90364062889,6.8376068377,6.3084112151,15.794136248,8.1178706189,0,5.6312637736,7.0799347472,6.1567723329
2018-01-01,0,-8.424068768,3.1484962406,3.6585365853,0,15.427509293,14.486391571,0,5.8823529411,9.1962091963,0.94265514545,22.741822991,20.450102692,8.9484679665,24.701445632,15.255423373,-3.4153005465,15.507896973,5.5737704917,-2.9721362229,9.1703056769,16.666666667,14.285714285,-11.684782608,2.4188995672,5.1566265061,10.852713178,0,13.670103092,13.313161875,10.869565217,-7.3983739838,5.1189245087,4.3612334801,0.099999999838,-2.0714285714,11.721611721,-0.43165467623,1.2109264995,6.8044601376,2.9099307159,1.7671013924,16.316639742,18.825561312,24.04109589,5.6261343014,0,0,3.591790194,0,10.44117647,22.458410351,22.776929402,2.4464831804,1.1931818181,-0.53924505692,16.863100635,24.929513027,0,10.344827586,6.6779374471,5.4101221642,-6.9672131147,0,-9.5774647886,18.521305538,0.73138297885,2.3131170663,0,25.96096984,22.360248447,7.9462102689,0,21.607486925,18.971061093,-1.3225806451,-8.0283224401,0,10.0231303,5.9714535391,16.942108694,3.8348082597,31.145584726,17.697787777,10.939752003,10.540395933,5.703883495,3.0534351145,8.7320173971,8.72,30.32967033,2.9557873821,2.1437578815,22.807017544,-1.7005391953,6.7946374162,11.139251706
2018-02-01,0,8.6511434125,0.54844606948,11.952941176,0,8.3091787441,-1.763803681,0,0,-3.4403198907,-7.159533074,-6.3141655381,-4.8133663839,9.2042186001,5.3427419356,-6.0109289617,-15.360678924,8.9361702128,-7.7639751552,-18.953414167,9.4666666668,-1.2987012987,-10.007440476,-4.6153846154,3.4271725825,-0.61869844185,12.214452214,0,1.8320333756,2.4032042724,11.666666666,-11.764705882,21.839645843,17.771211482,8.6913086914,-2.9905178701,8.1967213115,-2.3121387283,8.9315525876,2.2857142856,9.1113105924,-9.5666666666,15.416666666,14.53488372,6.0187741581,-1.6895761741,0,0,-5.0082553661,0,3.0625832225,4.8904844907,0.71951274458,-1.3930348259,1.4349212455,-8.0120481927,0.62063615205,22.895622896,0,-11.375,-8.8219756998,7.6750236518,-12.334801762,0,-5.7113187955,-7.9710144926,0.19801980197,-3.2258064518,0,8.6854460094,8.9340101522,-17.893544734,0,3.6441828881,-7.0270270271,-6.015037594,-7.923723795,0,-0.21023125437,3.490929082,2.5948660714,6.534090909,-7.6433121019,10.608474036,5.1724137931,5.27589545,-3.2835820894,4.4444444444,-6.0307692308,-7.6036301202,3.8785834739,8.6851628468,-2.7160493828,8.0105926927,-1.2236286919,-3.281027104,0.51923917144
2018-03-01,0,1.4997332721,9.4090909091,7.7763766289,0,13.589057389,4.1764246684,0,-3.5353535353,0.58419243978,-2.3470243084,4.5014670382,1.9325054536,-7.843137255,-1.0810926023,3.3591731266,-23.696524064,-0.17361111122,1.0101010101,-1.5748031495,4.2630937878,3.9473684212,-12.989894465,-11.700894994,2.8796844181,-4.2886788103,3.4898213542,0,8.0334877093,-0.32594524127,4.0386303775,-12.935323383,-15.220024222,-13.620071684,-0.86984763884,0.075187969924,6.7692307694,-2.3668639054,0.025542783987,-0.13966480437,-5.0596462362,2.3591581581,-6.5650903273,-9.3908629441,12.760416666,-5.8777958581,0,0,4.7508690614,0,12.478757344,5.2270125907,1.8763029881,-5.6508577195,15.6424581,-11.263916175,10.967941041,2.7739726027,0,-6.9111424542,-0.27909464079,7.8419433563,-0.50251256289,0,-16.629955947,-5.3805774279,7.0487483532,-2.165242165,0,0.90712742967,-0.2329916123,-18.620689655,0,6.0493557545,1.4534883721,-22.504347826,-3.5861592099,0,-7.654494382,-7.0385126163,8.5395703018,-5.8666666667,-13.30049261,-0.48963133622,2.8103044497,53.379310345,4.9382716048,2.1276595744,-5.66470203,-4.7109402359,-11.363636363,-5.2396888209,3.4263959391,4.5269352648,-2.852005567,3.1563421828,0.014012296924
