Data;"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
RRRP3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ALPA4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ABEV3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
AMER3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ASAI3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
AZUL4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
B3SA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BIDI11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BPAN4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BBSE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BRML3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BBDC3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BBDC4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BRAP4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BBAS3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BRKM5";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BRFS3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BPAC11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CRFB3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CCRO3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CMIG4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CESP6";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CIEL3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
COGN3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CPLE6";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CSAN3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CPFE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CMIN3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CVCB3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CYRE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
DXCO3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ECOR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ELET3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ELET6";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
EMBR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ENBR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ENGI11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ENEV3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
EGIE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
EQTL3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
EZTC3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
FLRY3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
GGBR4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
GOAU4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
GOLL4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
NTCO3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SOMA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
HAPV3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
HYPE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
IGTI11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
IRBR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ITSA4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
ITUB4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
JBSS3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
KLBN11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
LIGT3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
RENT3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
LCAM3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
LWSA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
AMAR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
LREN3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
MGLU3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
MRFG3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CASH3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
BEEF3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
MOVI3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
MRVE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
MULT3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PCAR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PETR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PETR4";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PRIO3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PETZ3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
PSSA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
POSI3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
QUAL3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
RADL3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
RDOR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
RAIL3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SBSP3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SANB11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
STBP3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
CSNA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SLCE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SULA11";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
SUZB3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
VIVT3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
TIMS3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
TOTS3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
UGPA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
USIM5";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
VALE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
VIIA3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
VBBR3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
WEGE3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
YDUQ3";"Retorno
do fechamento
em 1 mês
Em moeda orig
ajust p/ prov
IBOV"
Dez-1967;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jan-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7,000
Fev-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14,953
Mar-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8,943
Abr-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22,388
Mai-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8,537
Jun-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-8,427
Jul-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-0,613
Ago-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,086
Set-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11,377
Out-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-3,226
Nov-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,556
Dez-1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14,751
Jan-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11,700
Fev-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,707
Mar-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,484
Abr-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9,764
Mai-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30,061
Jun-1969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-4,481
