"","weights"
"1",0.0142478306305556
"2",0.00545116557636783
"3",0.0104140855336974
"4",0.00149668133708387
"5",0.000802186530968569
"6",0.00100179006538886
"7",0.00573153810263343
"8",0.00318806175643453
"9",0.00241909126615852
"10",0.0103988476451766
"11",0.002279372478792
"12",0.003929876527765
"13",0.00207819767304783
"14",0.0100625340315107
"15",0.00195018966645946
"16",0.00351359213084438
"17",0.00218636599621561
"18",0.0015857389847919
"19",0.0248330549920001
"20",0.00289024801406318
"21",0.00341508190922669
"22",0.0129922100555115
"23",0.00796008470557505
"24",0.00121337828051006
"25",0.0040783724281548
"26",0.00286197594698468
"27",0.00841266495189191
"28",0.0370270872664079
"29",0.00175302307455564
"30",0.00259017341458417
"31",0.00303320465531487
"32",0.00326031760561919
"33",0.00195910698559637
"34",0.00321457248145061
"35",0.0074324818627635
"36",0.00979616160587787
"37",0.00422730361845739
"38",0.00680556258157877
"39",0.0111753260778911
"40",0.00761379302992667
"41",0.00292791003430237
"42",0.00701622149970603
"43",0.00353305558828162
"44",0.00415406707037636
"45",0.00221156753112514
"46",0.00245971585961165
"47",0.0249264719441735
"48",0.00377507894949959
"49",0.0121221382430011
"50",0.347503605140898
"51",0.00195912189665341
"52",0.0027964959077638
"53",0.00550079030548118
"54",0.0117859623867536
"55",0.0112941732197863
"56",0.0012369246709352
"57",0.00364270050030494
"58",0.00182071159104996
"59",0.00543174888586993
"60",0.00144687386659203
"61",0.00247960868241411
"62",0.00211264508220284
"63",0.00421983582167907
"64",0.00260511165624546
"65",0.00443203445230161
"66",0.00144941453006648
"67",0.00248164877829772
"68",0.00509913153766712
"69",0.0111049500423128
"70",0.0017361109482145
"71",0.00187330805954595
"72",0.00251920417320404
"73",0.0237663564212401
"74",0.00702792626884031
"75",0.00148686648235855
"76",0.00372260145706252
"77",0.0216816306485102
"78",0.0429758750582511
"79",0.0143071132386209
"80",0.00294390887331962
"81",0.0024554325931285
"82",0.00248080249170512
"83",0.00134883022713573
"84",0.00629120791486463
"85",0.00411605482501739
"86",0.005393290549746
"87",0.0555235328008246
"88",0.00734489768206242
"89",0.00642787332673313
"90",0.00379678906183111
"91",0.00149376985837985
"92",0.0121451220731402
"93",0.000626423728460989
"94",0.00255093691221604
"95",0.010063410488606
"96",0.00241079236681196
"97",0.00667788431698154
