,60c_Equal Weights,60c_HRP,60c_MV,120c_Equal Weights,120c_HRP,120c_MV,60_Equal Weights,60_HRP,60_MV,120_Equal Weights,120_HRP,120_MV
count,210.0,210.0,210.0,150.0,150.0,150.0,182.0,182.0,182.0,122.0,122.0,122.0
mean,1.3868027567595322,1.0991137607492454,0.6419744177823027,1.11582308806941,0.9613118756735534,0.4971873065540301,1.4210269376335003,1.157554226719687,0.7153046662148811,1.104686778198416,1.0390134834698883,0.6597199931222663
std,7.2297033553753565,5.741956755208038,6.037373211724629,7.432772885707988,5.723846141962316,5.1206906753224235,6.923970041156512,5.460855417606874,5.730200768160827,7.033823427737865,5.293311704269847,4.830157785673177
min,-31.408236348236002,-24.35117788681311,-19.587297999508305,-31.408236348236002,-24.843627750173404,-18.515416019485144,-19.326888864128,-17.765294801697557,-19.441430089217405,-15.380428696071998,-11.457994440728964,-13.033410854352306
25%,-2.5515780615553,-1.885110973590144,-2.84930494069157,-2.5685655183427,-1.9745483379150714,-2.6235711913145963,-2.5050086155467004,-1.7728859691853,-2.2309464814057307,-2.5515780615553,-1.8530394905433067,-1.9254773947280657
50%,0.9321560961199999,0.6621145201330771,0.8320244001537892,0.5499963649691201,0.2841610586043682,1.0090205649814015,0.81656946482606,0.6323106518105719,1.0180781246564972,0.10812222621679998,0.1933090258819813,1.169451599300651
75%,5.7591689602083,5.233653674015324,3.9497364326938698,5.0573107498067,4.593237044365756,3.3111843434854427,5.679479807281901,5.152082891460912,3.6024313290470493,4.398289334160849,4.4947049137842345,3.154672908370535
max,30.03578362396,18.19571180736568,22.22477752793735,30.03578362396,19.309656983050886,13.579936050839173,30.03578362396,18.19571180736568,22.22477752793735,30.03578362396,19.309656983050886,13.525250324541567
skewness,-0.10404848884062387,-0.38807652575964957,-0.08386441686999056,-0.01636409767966584,-0.3585583822642827,-0.42408953252581105,0.39289846388286215,-0.03590887458306094,-0.050431992492597034,0.7186280313296479,0.27198173562467187,-0.31916875083363244
kurtosis,2.463729559682202,1.7132759591641986,1.3834504176742235,2.992233546338171,2.3736567424909483,1.2273435683629135,1.3710778193014277,0.5554694813729473,1.7212045655121053,1.9154091978438155,0.5535301975351636,0.7576288806115876
