"Data","RRRP3","ALPA4","ABEV3","AMER3","ASAI3","AZUL4","B3SA3","BIDI11","BPAN4","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","BPAC11","CRFB3","CCRO3","CMIG4","CESP6","CIEL3","COGN3","CPLE6","CSAN3","CPFE3","CMIN3","CVCB3","CYRE3","DXCO3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","ENGI11","ENEV3","EGIE3","EQTL3","EZTC3","FLRY3","GGBR4","GOAU4","GOLL4","NTCO3","SOMA3","HAPV3","HYPE3","IGTI11","IRBR3","ITSA4","ITUB4","JBSS3","KLBN11","LIGT3","RENT3","LCAM3","LWSA3","AMAR3","LREN3","MGLU3","MRFG3","CASH3","BEEF3","MOVI3","MRVE3","MULT3","PCAR3","PETR3","PETR4","PRIO3","PETZ3","PSSA3","POSI3","QUAL3","RADL3","RDOR3","RAIL3","SBSP3","SANB11","STBP3","CSNA3","SLCE3","SULA11","SUZB3","VIVT3","TIMS3","TOTS3","UGPA3","USIM5","VALE3","VIIA3","VBBR3","WEGE3","YDUQ3","IBOV"
2000-01-01,0,-6.3551237016,6.1293904095,0,0,0,0,0,0,0,0,-2.0786792138,3.2005468564,0,-5.9523821403,2.0066930636,-24.358969461,0,0,0,-23.95061792,0,0,0,-17.714287478,0,0,0,0,0,0,0,-17.047655833,-13.722832524,-7.8888893127,0,0,0,10.382513661,0,0,0,4.1666673134,0,0,0,0,0,0,0,0,-8.5005414917,-18.670323668,0,0,20.628141599,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.991126437,-11.304351093,0,0,0,0,0,0,0,0,-5.7048544343,0,0,-16.428572721,0,0,0,33.243478551,-6.1083198601,0,0,7.1428550576,14.285714285,0,0,0,0,-4.1132759932
2000-02-01,0,2.4271821483,-9.0886382031,0,0,0,0,0,0,0,0,-10.708151812,-12.924411081,0,-5.6961990249,2.2202239501,-1.6949202038,0,0,0,-5.4870139766,0,0,0,12.50000485,0,0,0,0,0,0,0,-4.3925235163,-7.1736047212,1.7454426135,0,0,0,-1.98019802,0,0,0,-1.6000047088,-3.4482743855,0,0,0,0,0,0,0,-3.5294153122,11.574343377,0,0,1.6413251748,0,0,0,0,0,0,0,0,0,0,0,0,0,26.466875429,12.745102192,0,0,0,0,0,0,0,0,-12.249998565,0,0,-6.2622350381,0,0,0,18.749998468,21.917802364,0,0,-8.5714249384,-15.000001589,0,0,0,0,7.7617769099
2000-03-01,0,9.9526058319,12.872180733,0,0,0,0,0,0,0,0,9.9345329787,13.243935705,0,-14.248765842,-1.1513108071,0,0,0,0,4.706285618,0,0,0,-6.507126333,0,0,0,0,0,0,0,1.0101011329,3.5548712231,8.7956325346,0,0,0,-4.5454545454,0,0,0,-7.5203240337,-4.7619056068,0,0,0,0,0,0,0,3.8445404234,10.379211422,0,0,-9.8323721691,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3049474101,4.4496137709,0,0,0,0,0,0,0,0,0.56979321598,0,0,13.863216979,0,0,0,-15.444107336,31.460673805,0,0,-7.9428320182,-1.9607824805,0,0,0,0,0.90600226504
2000-04-01,0,-5.1189039763,5.20487166,0,0,0,0,0,0,0,0,-6.9167932416,-8.1199863083,0,-4.610490986,1.3294513288,0,0,0,0,-7.6850157926,0,0,0,-9.0847454289,0,0,0,0,0,0,0,-13.870968439,-11.044779322,6.1452536587,0,0,0,-13.756613756,0,0,0,-4.1758212607,1.2500025612,0,0,0,0,0,0,0,-8.8235347742,-12.861059012,0,0,-5.2999976294,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.0909072437,-8.8771204794,0,0,0,0,0,0,0,0,-3.3982805499,0,0,-17.224024929,0,0,0,-11.151319328,-18.632477735,0,0,-12.716756951,0,13.772455089,0,0,0,-12.811447811
2000-05-01,0,14.813393619,0,0,0,0,0,0,0,0,0,-4.7893832278,-6.5722074677,0,-4.9999992239,1.5055971895,0,0,0,0,2.1818212606,0,0,0,9.619687034,0,0,0,0,0,0,0,8.9138594964,3.6912751888,-13.789478101,0,0,0,11.042944785,0,0,0,-4.8623838475,-3.7037020003,0,0,0,0,0,0,0,-3.8709641693,1.9084658245,0,0,-12.642798917,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2499987892,-2.5807938477,0,0,0,0,0,0,0,0,-21.988267673,0,0,17.670127921,0,0,0,2.1843773238,-1.470589674,0,0,5.9602622237,2.5,8.32239909,0,0,0,-3.7394606424
2000-06-01,0,0.016667243108,22.578948706,0,0,0,0,0,0,0,0,20.656146891,27.561080426,0,13.157896671,11.820098132,-0.33444292576,0,0,0,14.313815878,0,0,0,15.646263416,0,0,0,0,0,0,0,27.23521583,29.126218684,34.736059462,0,0,0,20.994475138,0,0,0,8.2308999627,2.6105167333,0,0,0,0,0,0,0,17.650236072,15.344028961,0,0,12.631870162,0,0,0,0,0,0,0,0,0,0,0,0,19.256401263,30.8148133,30.071599119,0,0,0,0,0,0,0,0,10.522530639,0,0,-5.6999985161,0,0,0,-28.623187354,35.394458809,0,0,4.2500019073,9.7317114109,70,0,0,0,11.841401444
2000-07-01,0,8.3416640142,20.22326994,0,0,0,0,0,0,0,0,1.8683502376,-0.71159630024,0,-3.1007770407,18.741161963,-12.243571251,0,0,0,6.1904744447,0,0,0,-3.9411816138,0,0,0,0,0,0,0,6.7567602944,6.5413481536,-7.4659057839,0,0,0,13.698630137,0,0,0,6.7272731891,-0.51281963106,0,0,0,0,0,0,0,2.2857121059,4.466117835,0,0,18.542368539,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.419777412,-14.091743679,0,0,0,0,0,0,0,0,16.789826893,0,0,0.74231249018,0,0,0,4.0609162494,-25.984252142,0,0,17.505995341,-1.0891346081,0,0,0,0,-1.6320918276
2000-08-01,0,10.492666036,3.5714337411,0,0,0,0,0,0,0,0,6.6917264263,8.3385520786,0,0.92649453054,-2.6956883321,3.8461538461,0,0,0,-2.541104597,0,0,0,1.1022684577,0,0,0,0,0,0,0,-13.670890516,-12.96165317,16.949151092,0,0,0,15.662650602,0,0,0,11.158434391,10.824742763,0,0,0,0,0,0,0,8.8280332146,5.7562512849,0,0,0.41563814939,0,0,0,0,0,0,0,0,0,0,0,0,0,24.245688858,17.684747615,0,0,0,0,0,0,0,0,23.125000815,0,0,15.964914562,0,0,0,14.634139249,23.40425553,0,0,10.10993495,3.8202264337,0,0,0,0,5.4211741826
2000-09-01,0,-0.70422675626,8.4420296609,0,0,0,0,0,0,0,0,-5.1665582948,-0.17878882545,-2.3999997019,1.4610425565,-1.3157882353,0,0,0,0,-6.2883470636,0,0,0,-0.060572631992,0,0,0,0,0,0,0,5.2785943617,1.2702736336,7.9796036396,0,0,0,-1.0416666666,0,0,0,-9.3869749438,-4.6511633951,0,0,0,0,0,0,0,-2.9579102968,-5.7010555436,0,0,2.8687345779,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2497843852,-4.3557128452,0,0,0,0,0,0,0,0,-7.1873922048,0,0,-11.815431425,0,0,0,-16.170209629,-25.862065505,0,0,-0.94339979123,-8.9826871372,0,0,4.4247787611,0,-8.1747953419
2000-10-01,0,-6.3829809719,21.794874734,0,0,0,0,0,0,0,0,-16.574077509,-22.606431873,-8.1967170879,-6.5599976992,-1.6000032426,-3.7037037036,0,0,0,-5.139114293,0,0,0,5.0303046723,0,0,0,0,0,0,0,-5.5710314789,-9.5276258548,-12.044370189,0,0,0,3.5087719296,0,0,0,-15.433405237,-5.1219560063,0,0,0,0,0,0,0,-13.90374277,-9.4042696726,0,0,-13.150872817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18115665353,-3.9658446344,0,0,0,0,0,0,0,0,-3.3762125034,0,0,-9.092469066,0,0,0,-7.8680210966,-13.953491268,0,0,-6.6666648501,4.6373384026,0,0,0,0,-6.6612255148
2000-11-01,0,-1.5151545939,2.3684219606,0,0,0,0,0,0,0,0,35.732991966,14.615646167,-13.392860019,-2.3972624858,-13.826034153,7.6923076924,0,0,0,-13.043477981,0,0,0,-9.9826923401,0,0,0,0,0,0,0,-4.1002918473,-2.3893836041,-8.3783808397,0,0,0,-3.3898305083,0,0,0,-25.049998054,-24.190230565,0,0,0,0,0,0,0,-1.2422348291,1.0679584535,0,0,-3.2110089234,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.7938474105,-6.1450317582,0,0,0,0,0,0,0,0,-11.25000379,0,0,-2.8118524549,0,0,0,-3.5812662846,-11.621622012,0,0,-18.367348528,-15.909090909,0,0,0,0,-10.627564404
