"Data","RRRP3","ALPA4","ABEV3","AMER3","ASAI3","AZUL4","B3SA3","BIDI11","BPAN4","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","BPAC11","CRFB3","CCRO3","CMIG4","CESP6","CIEL3","COGN3","CPLE6","CSAN3","CPFE3","CMIN3","CVCB3","CYRE3","DXCO3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","ENGI11","ENEV3","EGIE3","EQTL3","EZTC3","FLRY3","GGBR4","GOAU4","GOLL4","NTCO3","SOMA3","HAPV3","HYPE3","IGTI11","IRBR3","ITSA4","ITUB4","JBSS3","KLBN11","LIGT3","RENT3","LCAM3","LWSA3","AMAR3","LREN3","MGLU3","MRFG3","CASH3","BEEF3","MOVI3","MRVE3","MULT3","PCAR3","PETR3","PETR4","PRIO3","PETZ3","PSSA3","POSI3","QUAL3","RADL3","RDOR3","RAIL3","SBSP3","SANB11","STBP3","CSNA3","SLCE3","SULA11","SUZB3","VIVT3","TIMS3","TOTS3","UGPA3","USIM5","VALE3","VIIA3","VBBR3","WEGE3","YDUQ3","IBOV"
2020-06-01,0,17.921868707,13.301282051,16.841301026,0,40.826330532,20.944017563,22.619047619,57.142857143,7.8718354429,2.7522935779,6.6169695654,9.3396112354,3.5744680852,4.2477302206,-16.294160058,-8.0847384349,56.633906634,6.8144943212,-1.3605442177,2.037037037,1.4700735037,12.958435208,25.66539924,-3.9178515008,9.9928155993,-4.9302325581,0,25.972222222,34.808259587,19.516728625,-1.3688212927,8.2780300383,5.016286645,13.146853146,-1.4148273911,3.157894737,17.779523435,-0.75453902364,15.810473815,22.355105796,5.3104925053,19.210722264,18.47649919,54.197838736,7.315761162,0,13.324826831,4.2585879884,0,32.530120482,8.4841628959,10.532030401,-3.7323623122,3.1456113647,19.109195402,6.5349204062,14.46923597,64.885496183,10.01317523,8.6137406137,11.344211344,-3.2233307751,0,-1.7923823749,17.937219731,18.655240606,-0.91831802802,12.70244522,7.1976967371,5.9488692232,14.234990316,0,7.8292323533,29.009425047,22.259696459,1.2147814254,0,-0.17754105647,6.2223858615,9.8823529412,31.190476191,3.4883720929,-5.2589321557,0.95523428372,-2.8262017961,3.3746262281,4.2584434656,15.116857285,7.3598130841,18.211382114,5.5094339623,23.467741936,-0.41589648808,21.082312653,18.153089888,8.7562965811
2020-07-01,0,7.4453551913,-1.6973125885,11.838768697,0,0.99453008461,15.464693506,47.466427111,12.159090909,2.0535386871,-1.7857142858,9.4333531159,8.5030950932,17.912900575,4.4479004664,-1.8087855297,-2.6340545625,13.718792543,13.620253164,3.1724137933,8.8929219601,10.382890652,16.233766234,25.264750378,9.1417296942,27.467569092,8.3235286324,0,21.863470412,21.181047779,25.194401244,11.950655358,24.229782881,24.745777384,-5.933250927,6.5442020667,0.306122449,11.983103601,9.6935138989,11.384822317,3.1829573934,4.1480276535,8.9943785135,9.9863201094,-3.4501347708,17.894736842,0,4.7772237414,8.4684684685,0,-21.595712459,11.261730969,5.7204639275,1.8439716312,1.623216921,13.992762364,24.468345148,13.598261694,10.879629629,-2.2754491019,-1.6028708133,12.772299167,14.274385408,0,3.2699619773,26.615969582,6.3333333335,3.1219512197,0.028176951309,2.640759305,3.0182837878,11.867759254,0,7.1598571996,0.76923076922,-3.448275862,12.185861507,0,-1.2005335703,5.459272097,6.6738044256,0.90744101635,14.700374532,-0.046018221474,13.235657593,14.161456917,9.7282019387,10.915492957,11.576673866,3.0467899891,11.829436038,8.5658082975,27.49836708,5.3364269143,33.329899018,0.71322436852,8.2650594146
2020-08-01,0,18.40432295,-11.43884892,-6.0593362386,0,9.3549975381,-7.3139974781,6.8669527896,-14.184397163,-2.2550480056,-6.2626262627,-8.1239273465,-7.4966930451,2.1835075493,-1.4475320774,-6.6228070175,-5.3623188406,-7.0469798659,-11.774044154,-10.895721925,-6.6989364703,-5.9375,-15.083798882,-31.15942029,-6.9297981319,-7.9092920354,-8.4713375796,0,-12.019230769,-12.071480671,-1.1801242236,-11.019283746,-3.871142393,-6.6579973993,-3.5479632063,0.70043103442,-11.044880323,-1.7272185824,-5.9784798148,-9.1265178221,-5.6594607723,1.9133151112,9.3982808023,9.3283582089,-0.11166945832,4.8894557825,-3.7171350862,-0.62941357082,-12.375415282,0,-9.0047098269,-11.437437767,-12.179644938,4.1782729806,24.394966118,-19.947089947,-5.2827965436,6.6387872452,28.267223382,3.4313725489,5.6892778994,15.499938049,23.525329632,0,-3.6082474228,-2.1621621621,-6.1128526646,-1.5137180701,-10.549295774,-1.6740088106,-1.3963963964,5.8095478656,0,-2.1654636314,-6.4885496182,11.571428571,-13.134568896,0,1.7101710171,-21.528348398,-4.7259037122,-6.474820144,24.163265306,8.2758620689,-14.83234714,19.523809524,-7.7245053272,-9.0793650793,12.024794868,2.6399155227,24.846248462,-1.6965903476,5.0204918034,-3.8688518017,-4.0534521158,-20.478017114,-3.4428266259
2020-09-01,0,2.5503355704,1.868399675,-19.725220805,0,9.7703737056,-5.1644645383,-16.156935434,-4.1322314051,-7.9984836999,-9.698275862,-5.2240827441,-6.3287311794,2.0459195272,-8.9876893101,-2.348520432,-6.1766207248,-9.3115896924,4.8081841433,-4.9512378096,-3.3588298903,-6.1461794021,-13.815789473,-9.1228070175,0.37228876645,-17.921921922,-4.1057759221,0,-11.857923497,-3.6084612193,12.696417347,-8.3591331269,-14.615601239,-13.095569796,-14.986376021,-6.8485821294,-5.3624856157,-2.8282828283,-5.348346235,-8.7068965519,-9.2687950567,1.4559386975,8.9575694081,6.9397042094,-4.527669089,3.6278881231,-8.1920903955,-3.7822311388,-5.7819905213,0,5.049088359,-6.4824654622,-4.3977055448,-7.8877005347,-7.392996109,-4.1639127561,17.697484316,16.918522492,-2.978515625,-17.654028436,-8.6061365266,-4.3123793178,-14.325842696,0,-10.313216195,-0.18416206258,-10.461880912,-6.6762728146,9.8094788224,-11.424731182,-10.415714938,-16.710432084,0,-8.721150208,-9.1836734696,8.8028169013,8.7679942386,0,-15.663716814,-1.9895287958,-1.1315417256,-22.5,8.4812623274,1.4729299362,-8.2213987956,-9.2629482072,-8.309417583,-8.7988826816,-6.0984060983,-0.8744855968,-1.1822660098,3.1852320375,-15.365853658,-5.5763823806,1.725885863,1.7068645639,-4.7960257283
2020-10-01,0,6.0732984295,-2.8708133972,-16.381418093,0,-7.5061525841,-7.1986911472,-6.3559322035,-8.1280788178,-2.4309847548,-2.6252983293,0.92886302391,3.9651527079,4.121185119,0.60769750162,9.8605098605,-8.7051142546,-0.48043925881,-9.9560761347,-10.628807692,1.4851485148,-5.5575221239,-14.249363867,-17.181467181,-0.40316078048,-4.8880433192,1.1248185776,0,-23.868567886,-1.9363166954,6.9157836031,-15.624999999,2.4406332454,-0.6412311639,-3.3653846153,-2.3549684089,2.0671206225,9.3555093556,-1.1400247831,-5.9017941454,-0.39727582307,3.2854984895,4.8557692309,4.255319149,-8.138173302,-9.8376686877,-0.41025641021,3.5886707434,-5.5499579289,0,-18.024032043,3.2954545455,4.4251723371,-5.9022738269,-0.25210084032,33.034482759,7.0760543498,5.852631579,16.00402617,-11.223021582,-5.5485498109,10.448430493,-9.7049180328,0,-15.076660988,11.562115621,6.7589341823,-2.3674729799,-11.170060223,-3.894790086,-3.4166241712,-10.232158211,24.125874126,-1.7202072539,-8.9887640447,-5.8536911883,2.7327070879,0,-3.7775445961,-9.1880341881,14.628040057,-2.481389578,24.484848485,0.31384856811,1.3993827799,9.8792535675,-3.2645658581,-7.7791618472,-0.36900369014,-14.997405293,8.6739780658,2.4361360176,-1.0951008646,-4.8138957816,15.418569254,-16.380882889,-0.68811494893
2020-11-01,0,-0.91312931881,14.778325123,-6.432748538,0,68.603104213,9.9510284037,43.379893764,28.150134048,20.608108108,19.975490196,19.262876568,20.645509274,29.610368241,14.280765562,-1.0507880911,31.287246722,9.2689655172,8.9972899728,16.845878136,23.219512195,4.6101949027,5.3412462908,9.324009324,10.540803108,19.310663179,12.486544671,0,48.45276873,18.736287845,-2.0344287951,20.42042042,0,3.2591158439,34.328358209,9.1176470587,10.888730045,10.72243346,6.141890198,9.3326643253,16.666666667,-2.8884826325,4.1775584707,5.4230886382,49.904397706,9.349240781,32.955715757,12.008699704,15.089605734,0,7.9804560261,16.391639164,21.713189857,19.023136247,5.6444818871,20.269569725,10.777851021,8.3532219569,-4.35285611,8.752025932,19.305740988,-5.0751116524,6.6085693536,0,3.1592902607,8.1587651597,12.344213649,19.504480759,11.783696529,34.473684211,31.46779303,60.185185185,7.0422535211,1.151549498,26.419753086,4.2098649074,7.4397339984,0,3.3805888766,4.7999999999,23.190969591,24.427480916,14.459591041,6.0439396531,11.454385598,12.887112887,5.4411702658,13.839662447,-0.92592592591,24.114774115,25.229357798,28.819157721,3.4382284382,7.0385818561,-2.9803507847,44.066317627,15.902648575
2020-12-01,55.323590814,4.607721046,14.905563882,7.4005681819,0,3.3666491319,10.422234099,35.08507135,1.7625921188,3.7464985995,1.1235955057,13.573878975,13.453139658,9.6557659208,14.938825793,4.2920353982,0.045392646462,18.656904822,-3.5803083043,3.2975460124,15.281076801,5.3428739975,14.346529342,-1.2793176973,14.422183715,-2.3342790817,3.8277511961,0,12.890839275,14.581664699,3.6624947439,11.138819617,18.06181584,15.625,9.2592592593,5.9299191376,12.505371723,6.6277472528,5.8868616728,6.2872877466,4.7619047618,1.7319277107,8.9451963198,10.639644117,6.037414966,4.1460027773,3.7180480247,5.8252427183,7.5671994782,0,23.378582202,12.070148111,11.032588673,2.203023758,5.5422647529,4.7413793101,2.7084236464,7.9328675487,21.909348188,1.4903129657,-2.3867485991,6.8262861154,-1.1580381471,53.007135576,1.4955134597,5.2497451581,0.1056524039,5.7773245318,8.3754512636,12.915851272,13.815261044,39.904325294,0.70293821573,3.3755274262,-0.39062500009,5.4567380163,-3.0248869722,0,1.4767932489,-0.22451728773,14.508301404,7.3619631901,35.47426627,2.0066889632,3.5730966838,3.610619469,5.9060780999,10.441193066,7.7479305743,16.773241515,7.032967033,12.115384615,-8.9577464789,9.8844405593,3.0017050221,-0.30284675959,9.297099216
2021-01-01,-12.634408602,-7.5238095238,-2.9903282236,8.8744875015,0,2.6463104326,-2.6416985948,34.332148299,-1.4690451208,-6.6486668917,-3.5353535353,-10.513104202,-8.7775450513,-1.883534767,-12.731958762,2.7577428935,-3.720508167,1.8415312672,-1.8050541516,-10.022271714,-4.0244343709,0.96651708664,2.75,-2.3758099353,-12.890312249,-0.88472203879,-4.4239631336,0,-7.4829931971,-13.059701492,3.8140020897,-9.2744951383,-21.761658031,-22.324324324,-0.67796610183,-0.45185981699,-5.9396485867,0.80515297905,-2.2303140646,-2.7633851469,-14.498834498,-1.9252175599,-4.9079754601,-6.0390763766,-3.9695268644,-6.5523809524,11.799850634,12.71474744,-5.7226277374,0,-11.980440097,-9.3749132506,-10.20512532,2.1978021978,6.1579146204,-15.390946502,-7.3531544596,-10.747185261,27.02870635,-8.0763582966,-4.7542489665,1.2825651302,-8.4079944866,83.877415057,-8.4565731419,-7.8957888791,1.308691445,-9.9022524437,0.57295136576,-5.2686308493,-5.8221594917,0.42741131219,12.565445026,-1.6734693878,-11.176470588,-10.758034337,-0.47923322672,-3.6151980029,5.5093555095,-8.0333033303,-12.082891715,17.333333333,-4.5525902669,26.156648452,-9.6641164504,5.9959002392,-2.7956989247,-9.2150170648,-1.1142061282,-8.256107835,-9.6509240246,0.57175528873,-9.0965346535,5.1061906914,10.628465804,1.9137302552,-3.3185864502
2021-02-01,10.676923076,-10.066941297,-7.213765718,-0.38872691921,0,0.64452156657,-9.1973244147,17.489603024,47.923322684,-6.5088828119,-12.565445026,-4.6925210911,-6.8825329698,0.55991041427,-15.887913594,29.06688687,1.9792648445,6.9331930563,-0.1575630251,-7.1782178218,-12.700729926,-6.735042735,-12.29343279,-17.256637168,-10.263480392,8.4465760725,-7.2324011571,0,-13.182773109,-3.238392509,-5.1319826199,-9.0684253916,18.319395559,19.772831049,39.135381115,-6.6355624675,-11.329949238,8.626198083,-4.2132216015,-10.746003552,-14.122137404,2.1706016754,11.268817204,9.4517958412,-9.6868475992,-5.8907460253,-10.420841683,-9.7262667445,1.5174976776,0,-16.666666667,-6.2205466541,-9.2857330917,6.7824648469,4.8754448399,-10.457198443,-9.204758923,-8.7920489297,12.619839561,-19.009584665,-11.598746081,-4.3134151168,4.589917231,2.1739130436,4.5258620688,-6.25,-11.47368421,-7.1698113209,9.9629040806,-18.953530918,-16.672911203,18.612569159,-2.4186046511,-9.5267745952,-0.66225165556,1.5429122468,-6.7817014447,5.1750380519,-10.837438423,-9.9584046979,-4.756698322,-6.0064935065,8.1249999999,18.336702281,-17.238787271,17.921031426,-2.6548672568,-3.7593984962,10.492957746,-11.29476584,23.03030303,7.4701534963,-19.196732471,-14.359415305,-6.8504594819,-10.223546944,-4.3734137035
2021-03-01,6.1996107868,5.4680790152,9.0584878744,-25.914634146,402.32670669,-6.7733990148,2.6713802177,0.88256625149,-20.878329734,-4.6401887534,21.19760479,14.280603447,16.490692326,8.6700604519,9.0851100023,26.967370441,16.543438077,-4.5159386068,22.146238822,14.844444444,8.9464882942,3.2258064517,3.3333333335,6.4171122995,21.713895528,12.309582309,5.4054054055,2.9115341547,19.298245614,-0.60483870966,1.5209125475,6.2556663645,5.7389694541,6.225205981,14.554374488,9.8833981123,6.0833692271,-1.7647058823,1.652490887,23.383084577,1.746031746,-2.7078060707,17.359923478,16.553858298,-0.55478502081,4.2668399394,9.5451155854,-3.9999999999,-1.3462411476,0,2.1666666666,4.2814968025,9.7369103567,17.273431448,-6.2436375975,9.3970668115,3.1347204378,4.266692646,-20.604586518,6.5088757397,16.383743526,-16.29445823,26.690647482,-12.765957446,5.1546391753,-5.3672316385,8.2045184305,24.441056911,-51.420491755,8.0812641085,8.3633093527,10.369573017,-5.6720686368,7.7770130762,53.333333333,-3.9252928142,7.9974821279,-6.063675832,11.878453038,11.956521739,5.9106713024,17.789291883,15.302707636,8.9311859443,9.705823492,-6.3140631407,0.72622998523,-1.0156249999,-7.8075207138,12.337042742,5.2955665025,8.3194452187,1.6849199665,10.843373493,-3.997336781,-11.321381142,5.9967644891
